SchoolID,ClassID,Subject,StudentID,QuestionID,Question, Reference,Answer,Student Score,Max Score,Year
AS,10C,Biology,S001,Q1,តើអាមីបរស់នៅកន្លែងណា ?វាបង្កជំងឺអ្វី?,"អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។
វាបង្កជំងឺដូចជា
ជំងឺរាគមួល
ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត","អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។
វាបង្កជំងឺដូចជា
ជំងឺរាគមួល
ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត",3,8,2026
AS,10C,Biology,S001,Q2,តើគេចែកប្រូទីសជាប៉ុន្មានក្រុម?អ្វីខ្លះ? ,"ប្រូទីសសត្វចែកជា 4 ក្រុមតាមរបៀបរស់នៅនឹងផ្លាស់ទីរបស់វា 
+ប្រូតូសូអ៊ែផ្លាស់ទីដោយជើងបញ្ឆោត: អាមីប
+ប្រូតូសូអ៊ែផ្លាស់ទីដោយផ្លាសែល : សាឌីយ៉ា
+ប្រូតូសូអ៊ែបន្តពូជតាមរយ:ស្ប៉ :ស្ប៉រ៉ូសូអ៊ែ។","គេចែកប្រូទីសសត្វជា 4 ក្រុមគឺ 
-ប្រូតូសូអ៊ែ ផ្លាស់ទីតាមរយៈស្ប៉(ប្លាស្លូស្យូម)
-ប្រូតូសូអ៊ែ ផ្លាស់ទីដោយរោមញ័រ(ប៉ារ៉ាមេសុី)
-ប្រូតូសូអ៊ែ ផ្លាស់ទីដោយជើងបញ្ឆោត(អាមីប)",7,8,2026
AS,10C,Biology,S001,Q3,តើផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងអ្វី? ស្រូបសារធាតុចិញ្ចឹមតាមរយៈអ្វី?,ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងការតម្រៀបអុីបរបស់វា។ផ្សិតស្រូបសារធាតុចិញ្ចឹមតាមរយ:អុីបដែលដុះចូលទៅក្នុងប្រភពអាហារ។,"ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យទៅលើការតម្រៀបអុីបរបស់វា។
+ហើយវាស្រូបសារធាតុចិញ្ចិមតាមរយៈអុីបក្រោមដី។",8,10,2026
AS,10C,Biology,S001,Q4,ចូរប្រៀបធៀបលក្ខណៈខុសគ្នានៃផ្សិត និងរុក្ខជាតិ។,"លក្ខណៈខុសគ្នានៃផ្សិតនិងរុក្ខជាតិ
+ផ្សិត 
-ផ្សិតបន្តពូជតាមរយៈស្ប៉
-ផ្សិតមិនធ្វើរស្មីសំយោគ
-អុីប
-វារស់នៅកន្លែងសើម
+រុក្ខជាតិ
-បន្តពូជដោយគ្រាប់
-វាត្រូវការធ្វើរស្មីសំយោគ
-វារស់នៅកន្លែងដែលមានពន្លឺ","ផ្សិត
-បន្តពូជតាមរយៈស្ប៉
-ភាវៈរស់បជីព
-មានអុីប
-អុីបក្រោមដី
រុក្ខជាតិ
-បន្តពូជដោយគ្រាប់
-ភាវៈស្វ័យជីព
-មានឬស
-រុក្ខជាតិធ្វើរស្មីសំយោគ",7,12,2026
AS,10C,Biology,S001,Q5,តើដំណាក់កាលទាំងពីរនៃវដ្ដជីវីតរបស់រុក្ខជាតិមានអ្វីខ្លះ? ចូររៀបរាប់។,"ដំណាក់កាល ទាំងពីរនៃវដ្ដជីវិតរបស់រុក្ខជាតិមាន 
- ដំណាក់កាលស្ប៉រ៉ូភីត គឺជារុក្ខជាតិផលិតស្ប៉។ វាជាកោសិកាតូចៗដែលអាចលូតលាស់ជាសារពាង្គកាយថ្មី 
-ស្ប៉លូតលាស់ក្នុងដំណាក់កាលផ្សេងទៀតនៃរុក្ខជាតិ ហៅថាកាម៉ែតូភីត។ ក្នុងដំណាក់កាលនៃរុក្ខជាតិផលិតកោសិកាភេទពីរបែប គឺកាម៉ែតឈ្មោល និងកាម៉ែតញី ។ កាម៉ែតញី និង កាម៉ែតឈ្មោលលាយចូលគ្នា បង្កើតបានជាសុីកូត។ បន្ទាប់មកទៀត សុីកូតលូតលាស់ទៅជាស្ប៉រ៉ូភីត។ស្ប៉រ៉ូភីតផលិតស្ប៉លូតលាស់ក្នុងកាម៉ែតូភីត កាម៉ែតូភីតផលិតកាម៉ែតញី និងកាម៉ែតឈ្មោល ហើយវដ្ដផ្ដើមសារជាថ្មី។","ដំណាក់កាលស្ប៉រ៉ូភីត
-ដំណាក់កាល កាម៉ែតូភីត
+ ដំណាក់កាលស្ប៉រ៉ូភីត គឺរុក្ខជាតិផលិតស្ប៉
+ ដំណាក់កាល កាម៉ែតូភីត គឺ កាម៉ែតឈ្មោលនិងកាម៉ែតញី",8,15,2026
AS,10C,Biology,S002,Q1,តើអាមីបរស់នៅកន្លែងណា ?វាបង្កជំងឺអ្វី?,"អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។
វាបង្កជំងឺដូចជា
ជំងឺរាគមួល
ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត","អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។
វាបង្កជំងឺដូចជា
ជំងឺរាគមួល
ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត",8,8,2026
AS,10C,Biology,S002,Q2,តើគេចែកប្រូទីសជាប៉ុន្មានក្រុម?អ្វីខ្លះ? ,"ប្រូទីសសត្វចែកជា 4 ក្រុមតាមរបៀបរស់នៅនឹងផ្លាស់ទីរបស់វា 
+ប្រូតូសូអ៊ែផ្លាស់ទីដោយជើងបញ្ឆោត: អាមីប
+ប្រូតូសូអ៊ែផ្លាស់ទីដោយផ្លាសែល : សាឌីយ៉ា
+ប្រូតូសូអ៊ែបន្តពូជតាមរយ:ស្ប៉ :ស្ប៉រ៉ូសូអ៊ែ។","គេចែកប្រូទីសសត្វជា 4 ក្រុមគឺ 
-ប្រូតូសូអ៊ែ ផ្លាស់ទីតាមរយៈស្ប៉(ប្លាស្លូស្យូម)
-ប្រូតូសូអ៊ែ ផ្លាស់ទីដោយរោមញ័រ(ប៉ារ៉ាមេសុី)
-ប្រូតូសូអ៊ែ ផ្លាស់ទីដោយជើងបញ្ឆោត(អាមីប)",3,8,2026
AS,10C,Biology,S002,Q3,តើផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងអ្វី? ស្រូបសារធាតុចិញ្ចឹមតាមរយៈអ្វី?,ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងការតម្រៀបអុីបរបស់វា។ផ្សិតស្រូបសារធាតុចិញ្ចឹមតាមរយ:អុីបដែលដុះចូលទៅក្នុងប្រភពអាហារ។,"ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យទៅលើការតម្រៀបអុីបរបស់វា។
+ហើយវាស្រូបសារធាតុចិញ្ចិមតាមរយៈអុីបក្រោមដី។",8,10,2026
AS,10C,Biology,S002,Q4,ចូរប្រៀបធៀបលក្ខណៈខុសគ្នានៃផ្សិត និងរុក្ខជាតិ។,"លក្ខណៈខុសគ្នានៃផ្សិតនិងរុក្ខជាតិ
+ផ្សិត 
-ផ្សិតបន្តពូជតាមរយៈស្ប៉
-ផ្សិតមិនធ្វើរស្មីសំយោគ
-អុីប
-វារស់នៅកន្លែងសើម
+រុក្ខជាតិ
-បន្តពូជដោយគ្រាប់
-វាត្រូវការធ្វើរស្មីសំយោគ
-វារស់នៅកន្លែងដែលមានពន្លឺ","ផ្សិត
-បន្តពូជតាមរយៈស្ប៉
-ភាវៈរស់បជីព
-មានអុីប
-អុីបក្រោមដី
រុក្ខជាតិ
-បន្តពូជដោយគ្រាប់
-ភាវៈស្វ័យជីព
-មានឬស
-រុក្ខជាតិធ្វើរស្មីសំយោគ",5,12,2026
AS,10C,Biology,S002,Q5,តើដំណាក់កាលទាំងពីរនៃវដ្ដជីវីតរបស់រុក្ខជាតិមានអ្វីខ្លះ? ចូររៀបរាប់។,"ដំណាក់កាល ទាំងពីរនៃវដ្ដជីវិតរបស់រុក្ខជាតិមាន 
- ដំណាក់កាលស្ប៉រ៉ូភីត គឺជារុក្ខជាតិផលិតស្ប៉។ វាជាកោសិកាតូចៗដែលអាចលូតលាស់ជាសារពាង្គកាយថ្មី 
-ស្ប៉លូតលាស់ក្នុងដំណាក់កាលផ្សេងទៀតនៃរុក្ខជាតិ ហៅថាកាម៉ែតូភីត។ ក្នុងដំណាក់កាលនៃរុក្ខជាតិផលិតកោសិកាភេទពីរបែប គឺកាម៉ែតឈ្មោល និងកាម៉ែតញី ។ កាម៉ែតញី និង កាម៉ែតឈ្មោលលាយចូលគ្នា បង្កើតបានជាសុីកូត។ បន្ទាប់មកទៀត សុីកូតលូតលាស់ទៅជាស្ប៉រ៉ូភីត។ស្ប៉រ៉ូភីតផលិតស្ប៉លូតលាស់ក្នុងកាម៉ែតូភីត កាម៉ែតូភីតផលិតកាម៉ែតញី និងកាម៉ែតឈ្មោល ហើយវដ្ដផ្ដើមសារជាថ្មី។","ដំណាក់កាលស្ប៉រ៉ូភីត
-ដំណាក់កាល កាម៉ែតូភីត
+ ដំណាក់កាលស្ប៉រ៉ូភីត គឺរុក្ខជាតិផលិតស្ប៉
+ ដំណាក់កាល កាម៉ែតូភីត គឺ កាម៉ែតឈ្មោលនិងកាម៉ែតញី",4,15,2026
