SchoolID,ClassID,Subject,StudentID,QuestionID,Question,Reference,Answer,Student Score,Max Score,Year,normalized_score,score_label,Question_proc,Reference_proc,Answer_proc
AS,11K,Biology,S068,Q10,ដូចម្តេចដែលហៅថាមេយ៉ូស? ចូរនិយាយពីវគ្គផ្សេងៗនៃមេយ៉ូស។,មេយ៉ូសជាសំណុំនៃចំណែកកោសិកាពីរដងបន្តបន្ទាប់គ្នាដែលបង្កើតបានជាកោសិកាអាលូអុីតបួន ហៅថាមេយ៉ូស ។ _តេឡូផាស1 ស៊ីតូប្លាសចែកខ្លួនបានជាកោសិកាកូនពីរ ។កោសិកាកូននីមួយៗទទួលបានក្រូម៉ូសូម តែមួយពីរគូអូម៉ូឡូក ។ _ប្រផាស1 មានរយៈពេលវែង ។ _អាណាផាស1 ក្រូម៉ូសូមដំរៀបលើផ្លាស់ភ្ជាប់នឹងក្រយ៉ូងក្រូម៉ាទិចដោយសង់ក្រូងទ័ររបស់វា ។ _តេឡូផាស2 ក្រូម៉ូមនីមួយៗបានមកដល់ប៉ូលភ្នាស _មេតាផាស2 ក្រូម៉ូសូមប្រេះតាមបណ្ដោយភ្ជាប់ខ្លួនទៅនិងក្រយ៉ងក្រូម៉ាទិចដោយសង់ _ប្រូដាស2 ត្តយ៉ងអាក្រូម៉ាទិតកើតមានក្នុងកោសិកាគូនីមួយៗ _អាណាផាស2 សង់ក្រូម៉ែធ្វើចំណែកដែលនាំអោយក្រូម៉ាទិចបងប្អូនដាច់ចេញពីគ្នា ។បន្ទាប់មក ក្រូម៉ូសូមកូនទាំង2ធ្វើដំណើរឆ្ពោះទៅប៉ូលផ្ទុយគ្នារបស់ត្រយ៉ូងអាក្រូម៉ាទិច ។,មេយ៉ូសជាសំណុំនៃចំណែកកោសិកាពីរដងបន្តបន្ទាប់គ្នាដែលបង្កើតបានជាកោសិកាអាលូអុីតបួន ហៅថាមេយ៉ូស ។មានបួនវគ្គគឺ ប្រូផាស អាណាផាស មេតាផាស និង តេឡូផាស ។,4,10,2026,0.4,2,ដូចម្តេច ដែល ហៅ ថា មេយូ៉ ស ?   ចូរ និយាយ ពី វគ្គ ផ្សេង ៗ នៃ មេយូ៉ស ។,មេយូ៉ស ជា សំណុំ នៃ ចំណែក កោសិកា ពីរ ដង បន្តបន្ទាប់ គ្នា ដែល បង្កើត បានជា កោសិកា អាលូ អុីត បួន   ហៅ ថា មេយូ៉ ស   ។   _ តេឡូ ផាស1   សី៊ តូ ប្លាស ចែក ខ្លួន បានជា កោសិកា កូន ពីរ   ។ កោសិកា កូន នីមួយ ៗ ទទួលបាន ក្រូមូ៉ សូម   តែ មួយ ពីរ គូ អូមូ៉ ឡូក   ។   _ ប្រផាស 1   មាន រយៈពេល វែង   ។   _ អាណា ផាស1   ក្រូមូ៉ សូម ដំរៀប លើ ផ្លាស់ ភ្ជាប់ នឹង ក្រយូ៉ង ក្រូមា៉ ទិច ដោយ សង់ ក្រូងទ័រ របស់ វា   ។   _ តេឡូ ផាស2   ក្រូមូ៉ម នីមួយ ៗ បាន មកដល់ បូ៉ល ភ្នាស   _ មេតា ផាស2   ក្រូមូ៉ សូម ប្រេះ តាម បណ្ដោយ ភ្ជាប់ ខ្លួន ទៅ និង ក្រយ៉ង ក្រូមា៉ ទិច ដោយ សង់   _ ប្រូដាស2   ត្ត យ៉ង អាក្រូមា៉ ទិត កើតមាន ក្នុង កោសិកា គូ នីមួយ ៗ   _ អាណា ផាស2   សង់ ក្រូមែ៉ ធ្វើ ចំណែក ដែល នាំអោយ ក្រូមា៉ ទិច បងប្អូន ដាច់ ចេញ ពី គ្នា   ។បន្ទាប់មក   ក្រូមូ៉ សូម កូន ទាំង2ធ្វើដំណើរ ឆ្ពោះទៅ បូ៉ល ផ្ទុយ គ្នា របស់ ត្រយូ៉ង អាក្រូមា៉ ទិច   ។,មេយូ៉ស ជា សំណុំ នៃ ចំណែក កោសិកា ពីរ ដង បន្តបន្ទាប់ គ្នា ដែល បង្កើត បានជា កោសិកា អាលូ អុីត បួន   ហៅ ថា មេយូ៉ ស   ។ មាន បួន វគ្គ គឺ   ប្រូផាស   អាណា ផាស   មេតា ផាស   និង   តេឡូ ផាស   ។
AS,10C,History,S002,Q22,បុព្វហេតុអ្វីខ្លះដែលនាំឲ្យអាណាចក្រចេនឡាបែកបាក់ជាពីរគឺអាណាចក្រចេនឡាដីគោកនិងចេនឡាទឹកលិច?,បុព្វហេតុដែលនាំហើយអាណាចក្រចេនឡាបែកជាពីរគឺ -វិសាលភាពទឹកដីធំទូលាយ -ចម្បាំងអត់ឈប់ឈរ -សមន្ដរដ្ឋបះបោរចង់ផ្ដាច់ខ្លួន -វិបត្តិផ្ទៃក្នុង -ព្រះនាងជ័យទេវីគ្មានសមត្ថភាពគ្រប់គ្រង។,បុព្វហេតុដែលនាំហើយអាណាចក្រចេនឡាបែកជាពីរគឺ -វិសាលភាពទឹកដីធំទូលាយ -ចម្បាំងអត់ឈប់ឈរ -សមន្ដរដ្ឋបះបោរចង់ផ្ដាច់ខ្លួន -វិបត្តិផ្ទៃក្នុង -ព្រះនាងជ័យទេវីគ្មានសមត្ថភាពគ្រប់គ្រង។,7,7,2026,1.0,4,បុព្វហេតុ អ្វី ខ្លះ ដែល ន្យាំ ឲ អាណាចក្រ ចេន ឡាបែកបាក់ ជា ពីរ គឺ អាណាចក្រ ចេន ឡាដី គោក និង ចេនឡា ទឹក លិច ?,បុព្វហេតុ ដែល នាំ ហើយ អាណាចក្រ ចេនឡា បែក ជា ពីរ គឺ   - វិសាលភាព ទឹកដី ធំ ទូលាយ   - ចម្បាំង អត់ ឈប់ ឈរ   - សមន្ដ រដ្ឋ បះបោរ ចង់ ផ្ដាច់ ខ្លួន   - វិបត្តិ ផ្ទៃក្នុង   - ព្រះនាង ជ័យ ទេវី គ្មាន សមត្ថភាព គ្រប់គ្រង ។,បុព្វហេតុ ដែល នាំ ហើយ អាណាចក្រ ចេនឡា បែក ជា ពីរ គឺ   - វិសាលភាព ទឹកដី ធំ ទូលាយ   - ចម្បាំង អត់ ឈប់ ឈរ   - សមន្ដ រដ្ឋ បះបោរ ចង់ ផ្ដាច់ ខ្លួន   - វិបត្តិ ផ្ទៃក្នុង   - ព្រះនាង ជ័យ ទេវី គ្មាន សមត្ថភាព គ្រប់គ្រង ។
AS,10C,History,S009,Q23,តើកត្តាអ្វីខ្លះដែលធ្វើអោយសម័យអង្គររីកចម្រើនដល់កំពូល?​ ចូលរៀបរាប់។,កត្តាដែលធ្វើអោយសម័យអង្គររីកចម្រើនគឺ: កត្តាព្រះរាជា:ព្រះរាជាចាប់ពីព្រះបាទជ័យវរ្ម័នទី 2 រហូតដល់ព្រះបាទជ័យវរ្ម័នទី 7 សុទ្ធតែជាស្ដេចខ្លាំងពូកែ កត្តានយោបាយ: នយោបាយក្នុងប្រទេសបង្រួបបង្រួមជាតិកសាងនិងការពារទឹកដី នយោបាយក្រៅប្រទេស:ចងសម្ព័ន្ធមិត្តជាមួយប្រទេសធំៗវាយយករដ្ឋតូចដាក់ជាចំណុះ កត្តាសេដ្ឋកិច្ច:រីកចម្រើនលើវិស័យកសិកម្មសិប្បកម្មគណនាគម កត្តាសាសនា:ការឯកភាពគ្នារវាងសាសនាព្រាហ្មនិងព្រះពុទ្ធ កត្តាធនធានមនុស្សបន្សល់ទុកតាំងពីសម័យនគរភ្នំនិងចេនឡាមក។,កត្តាដែលធ្វើអោយសម័យអង្គររីកចម្រើនគឺ: កត្តាព្រះរាជា:ព្រះរាជាចាប់ពីព្រះបាទជ័យវរ្ម័នទី 2 រហូតដល់ព្រះបាទជ័យវរ្ម័នទី 7 សុទ្ធសឹងតែជាស្ដេចខ្លាំងពូកែ កត្តានយោបាយ: នយោបាយក្នុងប្រទេសបង្រួបបង្រួមជាតិកសាងនិងការពារទឹកដី នយោបាយក្រៅប្រទេស:ចងសម្ព័ន្ធមិត្តជាមួយប្រទេសធំៗវាយយករដ្ឋតូចដាក់ជាចំណុះ កត្តាសេដ្ឋកិច្ច:រីកចម្រើនលើវិស័យកសិកម្មសិប្បកម្មគណនាគមន៍ កត្តាសាសនា:ការឯកភាពគ្នារវាងសាសនាព្រាហ្មនិងព្រះពុទ្ធ កត្តាធនធានមនុស្សបន្សល់ទុកតាំងពីសម័យនគរភ្នំនិងចេនឡាមក។,10,10,2026,1.0,4,តើ កត្តា អ្វី ខ្លះ ដែល ធ្វើអោយ សម័យ អង្គរ រីកចម្រើន ដល់ កំពូល ?   ចូលរៀបរាប់ ។,កត្តា ដែល ធ្វើអោយ សម័យ អង្គរ រីកចម្រើន គឺ :   កត្តា ព្រះរាជា : ព្រះរាជា ចាប់ពី ព្រះបាទ ជ័យ វរ្ម័ន ទី   2   រហូតដល់ ព្រះបាទ ជ័យ វរ្ម័ន ទី   7   សុទ្ធតែ ជា ស្ដេច ខ្លាំង ពូកែ   កត្តា នយោបាយ :   នយោបាយ ក្នុង ប្រទេស បង្រួបបង្រួម ជាតិ កសាង និង ការពារ ទឹកដី   នយោបាយ ក្រៅ ប្រទេស : ចង សម្ព័ន្ធមិត្ត ជាមួយ ប្រទេស ធំ ៗ វាយ យក រដ្ឋ តូច ដាក់ ជា ចំណុះ   កត្តា សេដ្ឋកិច្ច : រីកចម្រើន លើ វិស័យ កសិកម្ម សិប្បកម្ម គណនាគម   កត្តា សាសនា : ការឯកភាព គ្នា រវាង សាសនា ព្រាហ្ម និង ព្រះពុទ្ធ   កត្តា ធនធាន មនុស្ស បន្សល់ទុក តាំងពី សម័យ នគរ ភ្នំ និង ចេនឡាមក ។,កត្តា ដែល ធ្វើអោយ សម័យ អង្គរ រីកចម្រើន គឺ :   កត្តា ព្រះរាជា : ព្រះរាជា ចាប់ពី ព្រះបាទ ជ័យ វរ្ម័ន ទី   2   រហូតដល់ ព្រះបាទ ជ័យ វរ្ម័ន ទី   7   សុទ្ធសឹងតែ ជា ស្ដេច ខ្លាំង ពូកែ   កត្តា នយោបាយ :   នយោបាយ ក្នុង ប្រទេស បង្រួបបង្រួម ជាតិ កសាង និង ការពារ ទឹកដី   នយោបាយ ក្រៅ ប្រទេស : ចង សម្ព័ន្ធមិត្ត ជាមួយ ប្រទេស ធំ ៗ វាយ យក រដ្ឋ តូច ដាក់ ជា ចំណុះ   កត្តា សេដ្ឋកិច្ច : រីកចម្រើន លើ វិស័យ កសិកម្ម សិប្បកម្ម គណនាគមន៍   កត្តា សាសនា : ការឯកភាព គ្នា រវាង សាសនា ព្រាហ្ម និង ព្រះពុទ្ធ   កត្តា ធនធាន មនុស្ស បន្សល់ទុក តាំងពី សម័យ នគរ ភ្នំ និង ចេនឡាមក ។
AS,10C,Biology,S023,Q4,ចូរប្រៀបធៀបលក្ខណៈខុសគ្នានៃផ្សិត និងរុក្ខជាតិ។,លក្ខណៈខុសគ្នានៃផ្សិតនិងរុក្ខជាតិ +ផ្សិត  -ផ្សិតបន្តពូជតាមរយៈស្ប៉ -ផ្សិតមិនធ្វើរស្មីសំយោគ -អុីប -វារស់នៅកន្លែងសើម +រុក្ខជាតិ -បន្តពូជដោយគ្រាប់ -វាត្រូវការធ្វើរស្មីសំយោគ -វារស់នៅកន្លែងដែលមានពន្លឺ,ប្រៀបធៀបលក្ខណ:ខុសគ្នារវាងផ្សិតនិងរុក្ខជាតិ  +ផ្សិត -បរជីព -អុីបក្រោមដី -ស្ប៉ +រុក្ខជាតិ -ស្វ័យជីព -គ្រាប់ -ឬស,7,12,2026,0.5833333333333334,2,ចូរ ប្រៀបធៀប លក្ខណៈ ខុសគ្នា នៃ ផ្សិត   និង រុក្ខជាតិ ។,លក្ខណៈ ខុសគ្នា នៃ ផ្សិត និង រុក្ខជាតិ   + ផ្សិត   - ផ្សិត បន្ត ពូជ តាមរយៈ ស្ប៉   - ផ្សិត មិន ធ្វើ រស្មី សំយោគ   - អុីប   - វា រស់ នៅ កន្លែង សើម   + រុក្ខជាតិ   - បន្ត ពូជ ដោយ គ្រាប់   - វា ត្រូវការធ្វើ រស្មី សំយោគ   - វា រស់ នៅ កន្លែង ដែល មាន ពន្លឺ,ប្រៀបធៀប លក្ខណ : ខុសគ្នា រវាង ផ្សិត និង រុក្ខជាតិ   + ផ្សិត   - បរ ជីព   - អុីប ក្រោម ដី   - ស្ប៉   + រុក្ខជាតិ   - ស្វ័យ ជីព   - គ្រាប់   - ឬ ស
AS,10C,Biology,S049,Q3,តើផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងអ្វី? ស្រូបសារធាតុចិញ្ចឹមតាមរយៈអ្វី?,ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងការតម្រៀបអុីបរបស់វា។ផ្សិតស្រូបសារធាតុចិញ្ចឹមតាមរយ:អុីបដែលដុះចូលទៅក្នុងប្រភពអាហារ។,ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យលើការតម្រៀបរបស់អុីប។ផ្សិតខ្លះ អុីបមានរាងសរសៃឆ្មារៗបែកមែកប្រទាក់ក្រឡាគ្នា ណ្ហេលៗ(រង្វិល) ។ ផ្សិតខ្លះទៀតអុីបរបស់វាតម្រៀបគ្នាយ៉ាងណែន ។ វាស្រូបសារធាតុចិញ្ចឹមតាមរយ:អុីប។,3,10,2026,0.3,1,តើ ផ្សិត មាន រូបរាង ខុស ៗ គ្នា អាស្រ័យ នឹង អ្វី ?   ស្រូប សារធាតុ ចិញ្ចឹម តាមរយៈ អ្វី ?,ផ្សិត មាន រូបរាង ខុស ៗ គ្នា អាស្រ័យ នឹង ការតម្រៀប អុីប របស់ វា ។ ផ្សិត ស្រូប សារធាតុ ចិញ្ចឹម តាម រយ : អុីប ដែល ដុះ ចូល ទៅក្នុង ប្រភព អាហារ ។,ផ្សិត មាន រូបរាង ខុស ៗ គ្នា អាស្រ័យ លើ ការតម្រៀប របស់ អុីប ។ ផ្សិត ខ្លះ   អុីប មាន រាង សរសៃ ឆ្មារ ៗ បែក មែក ប្រទាក់ ក្រឡា គ្នា   ណ្ហេល ៗ ( រង្វិល )   ។   ផ្សិត ខ្លះ ទៀត អុីប របស់ វាត ម្រៀប គ្នា យា៉ង ណែន   ។   វា ស្រូប សារធាតុ ចិញ្ចឹម តាម រយ : អុីប ។
AS,10C,History,S016,Q22,បុព្វហេតុអ្វីខ្លះដែលនាំឲ្យអាណាចក្រចេនឡាបែកបាក់ជាពីរគឺអាណាចក្រចេនឡាដីគោកនិងចេនឡាទឹកលិច?,បុព្វហេតុដែលនាំហើយអាណាចក្រចេនឡាបែកជាពីរគឺ -វិសាលភាពទឹកដីធំទូលាយ -ចម្បាំងអត់ឈប់ឈរ -សមន្ដរដ្ឋបះបោរចង់ផ្ដាច់ខ្លួន -វិបត្តិផ្ទៃក្នុង -ព្រះនាងជ័យទេវីគ្មានសមត្ថភាពគ្រប់គ្រង។,បុព្វហេតុដែលនាំហើយអាណាចក្រចេនឡាបែកជាពីរគឺ -វិសាលភាពទឹកដីធំទូលាយ -ចម្បាំងអត់ឈប់ឈរ -សមន្ដរដ្ឋបះបោរចង់ផ្ដាច់ខ្លួន -វិបត្តិផ្ទៃក្នុង -ព្រះនាងជ័យទេវីគ្មានសមត្ថភាពគ្រប់គ្រង។,7,7,2026,1.0,4,បុព្វហេតុ អ្វី ខ្លះ ដែល ន្យាំ ឲ អាណាចក្រ ចេន ឡាបែកបាក់ ជា ពីរ គឺ អាណាចក្រ ចេន ឡាដី គោក និង ចេនឡា ទឹក លិច ?,បុព្វហេតុ ដែល នាំ ហើយ អាណាចក្រ ចេនឡា បែក ជា ពីរ គឺ   - វិសាលភាព ទឹកដី ធំ ទូលាយ   - ចម្បាំង អត់ ឈប់ ឈរ   - សមន្ដ រដ្ឋ បះបោរ ចង់ ផ្ដាច់ ខ្លួន   - វិបត្តិ ផ្ទៃក្នុង   - ព្រះនាង ជ័យ ទេវី គ្មាន សមត្ថភាព គ្រប់គ្រង ។,បុព្វហេតុ ដែល នាំ ហើយ អាណាចក្រ ចេនឡា បែក ជា ពីរ គឺ   - វិសាលភាព ទឹកដី ធំ ទូលាយ   - ចម្បាំង អត់ ឈប់ ឈរ   - សមន្ដ រដ្ឋ បះបោរ ចង់ ផ្ដាច់ ខ្លួន   - វិបត្តិ ផ្ទៃក្នុង   - ព្រះនាង ជ័យ ទេវី គ្មាន សមត្ថភាព គ្រប់គ្រង ។
AS,10C,Biology,S004,Q1,តើអាមីបរស់នៅកន្លែងណា ?វាបង្កជំងឺអ្វី?,អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។ វាបង្កជំងឺដូចជា ជំងឺរាគមួល ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត,អាមីបរស់នៅកន្លែងសើម វាបង្កជំងឺរាគមួលនិងឡើងកន្ទួលក្រហមលើស្បែក,7,8,2026,0.875,4,តើ អាមីប រស់ នៅ កន្លែងណា   ? វា បង្ក ជំងឺ អ្វី ?,អាមីប រស់ នៅ កន្លែង ដូចជា ស្ទឹង បឹង អូរ ត្រពាំង ទន្លេ ទឹកជ្រោះ ។   វា បង្ក ជំងឺ ដូចជា   ជំងឺ រាគមួល   ធ្វ្យើឲ យើង ចុក ពោះ ដោយ ផឹក ទឹក មិន ស្អាត,អាមីប រស់ នៅ កន្លែង សើម   វា បង្ក ជំងឺ រាគមួល និង ឡើង កន្ទួល ក្រហម លើ ស្បែក
AS,11N,History,S163,Q33,តើព្រះអង្គឌួងមានស្នាព្រហស្ថអ្វីខ្លះចំពោះប្រទេសជាតិនិងប្រជារាស្ត្រខ្មែរ?,ព្រះបាទអង្គឌួងមានស្នាព្រហស្តដូចជាផ្នែករដ្ឋបាលរៀបចំប្រព័ន្ធរដ្ឋបាលនិងច្បាប់ទម្លាប់ស្ដារឡើងវិញមានរបៀបផ្នែកសេដ្ឋកិច្ចលើកស្ទួយវិស័យកសិកម្មជួសជុលប្រព័ន្ធ សេះនិងពាណិជ្ជកម្ម ភ្នែកបរទេសស្វែងរកជំនួយពីបារាំងដើម្បីទប់ទល់នឹងការត្រួតត្រាយួននិងសៀម ផ្នែកវប្បធម៌លើកស្ទួយវប្បធម៌អក្សរសាស្ត្រខ្មែរនិង សាសនា កត្តាផ្ទៃក្នុង ការបែកបាក់រាជវង្សានុវង្សបែកបាក់សាមគ្គី។,ព្រះអង្គឌួងមានស្នាព្រហស្តដូចជានយោបាយទាមទារទឹកដីដែលបាត់បង់មកវិញនិងស្វែងរកកិច្ចការពារពីប្រទេសបារាំងដើម្បីប្រទេសពីការ ត្រួតត្រារបស់សៀមយួន វប្បធម៌ លើកស្ទួយអក្សរសាស្ត្រខ្មែរនិពន្ធរឿងកាកីនិងជួសជុលវត្តអារាម សេដ្ឋកិច្ច បោះពុម្ពប្រាក់ដួងប្រើប្រាស់និងកសាងផ្លូវថ្នល់ផ្លូវពីឧត្តុង្គទៅកំពត។,13,15,2026,0.8666666666666667,3,តើ ព្រះអង្គ ឌួង មាន ស្នា ព្រហស្ថ អ្វី ខ្លះ ចំពោះ ប្រទេសជាតិ និង ប្រជារាស្ត្រ ខ្មែរ ?,ព្រះបាទ អង្គ ឌួង មាន ស្នា ព្រហស្ត ដូចជា ផ្នែក រដ្ឋបាល រៀបចំ ប្រព័ន្ធ រដ្ឋបាល និង ច្បាប់ ទម្លាប់ ស្ដារ ឡើងវិញ មាន របៀប ផ្នែក សេដ្ឋកិច្ច លើកស្ទួយ វិស័យ កសិកម្ម ជួសជុល ប្រព័ន្ធ   សេះ និង ពាណិជ្ជកម្ម   ភ្នែក បរទេស ស្វែងរក ជំនួយ ពី បារាំង ដើម្បី ទប់ទល់ នឹង ការត្រួតត្រា យួន និង សៀម   ផ្នែក វប្បធម៌ លើកស្ទួយ វប្បធម៌ អក្សរសាស្ត្រ ខ្មែរ និង   សាសនា   កត្តា ផ្ទៃក្នុង   ការបែកបាក់ រាជ វង្សានុវង្ស បែកបាក់ សាមគ្គី ។,ព្រះអង្គ ឌួង មាន ស្នា ព្រហស្ត ដូចជា នយោបាយ ទាមទារ ទឹកដី ដែល បាត់បង់ មកវិញ និង ស្វែងរក កិច្ចការពារ ពី ប្រទេស បារាំង ដើម្បី ប្រទេស ពី ការ   ត្រួតត្រា របស់ សៀម យួន   វប្បធម៌   លើកស្ទួយ អក្សរសាស្ត្រ ខ្មែរ និពន្ធ រឿង កាកី និង ជួសជុល វត្ត អារាម   សេដ្ឋកិច្ច   បោះពុម្ព ប្រាក់ ដួង ប្រើប្រាស់ និង កសាង ផ្លូវថ្នល់ ផ្លូវ ពី ឧត្តុង្គ ទៅ កំពត ។
AS,10C,History,S042,Q24,តើសង្គមខ្មែរនៅសម័យអង្គរមានប៉ុន្មានវណ្ណៈ? វណ្ណៈអ្វីខ្លះ? ចូលរៀបរាប់។,សង្គមខ្មែរនៅសម័យអង្គរមានប្រាំវណ្ណៈគឺ -វណ្ណៈក្សត្រឬរាជវង្សនុវង្ស (ជាស្ដេចគ្រប់គ្រងប្រទេស -វណ្ណៈមន្ត្រី (អ្នករស់នៅក្នុងរាជវាំងបម្រើស្ដេច) -វណ្ណៈព្រាហ្ម៍ឬបុព្វជិត​(គឺជាអ្នកបួស) -វណ្ណៈអ្នកជាឬកសិករ (អ្នករស់នៅនឹងធ្វើស្រែចម្ការ) -វណ្ណៈអ្នកងារឬទាសករ(ទាសករបម្រើគេតកូនតចៅ)។,សង្គមខ្មែរនៅសម័យអង្គរមានប្រាំវណ្ណៈគឺ -វណ្ណៈក្សត្រឬរាជវង្សនុវង្ស (ជាអ្នកធំជាងគេដែលមាននាទីគ្រប់គ្រងរដ្ឋឬបញ្ជាកងទ័ព ) -វណ្ណៈមន្ត្រី (មានសិទ្ធិក្នុងការកាត់ទោសឬកាត់ច្បាប់នីមួយៗ) -វណ្ណៈព្រាហ្ម៍ឬបុព្វជិត​(អ្នកកាន់ធម៍ឬអ្នកយល់ដឹង) -វណ្ណៈអ្នកជាឬកសិករ (ជាមនុស្សដែលគ្មានឋានអ្វីឡើយឬហៅជាប្រជាជន) -វណ្ណៈអ្នកងារឬទាសករ(ទាសករបម្រើព្រះរាជាឬមន្រ្ដីរាជការ)។,10,10,2026,1.0,4,តើ សង្គម ខ្មែរ នៅ សម័យ អង្គរ មាន បុ៉ន្មាន វណ្ណៈ ?   វណ្ណៈ អ្វី ខ្លះ ?   ចូលរៀបរាប់ ។,សង្គម ខ្មែរ នៅ សម័យ អង្គរ មាន ប្រាំវណ្ណៈ គឺ   - វណ្ណៈក្សត្រ ឬ រាជ វង្សនុវង្ស   ( ជា ស្ដេច គ្រប់គ្រង ប្រទេស   - វណ្ណៈ មន្ត្រី   ( អ្នក រស់ នៅក្នុង រាជ វាំង បម្រើ ស្ដេច )   - វណ្ណៈ ព្រា ហ្ម៍ ឬ បុព្វជិត ( គឺជា អ្នកបួស )   - វណ្ណៈ អ្នក ជា ឬ កសិករ   ( អ្នក រស់ នៅ នឹង ធ្វើ ស្រែ ចម្ការ )   - វណ្ណៈ អ្នកងារ ឬ ទាសករ ( ទាសករ បម្រើ គេត កូន ត ចៅ ) ។,សង្គម ខ្មែរ នៅ សម័យ អង្គរ មាន ប្រាំវណ្ណៈ គឺ   - វណ្ណៈក្សត្រ ឬ រាជ វង្សនុវង្ស   ( ជា អ្នក ធំ ជាង គេ ដែល មាន នាទី គ្រប់គ្រង រដ្ឋ ឬ បញ្ជា កងទ័ព   )   - វណ្ណៈ មន្ត្រី   ( មាន សិទ្ធិ ក្នុង ការកាត់ទោស ឬ កាត់ ច្បាប់ នីមួយ ៗ )   - វណ្ណៈ ព្រា ហ្ម៍ ឬ បុព្វជិត ( អ្នកកាន់ ធម៍ ឬ អ្នកយល់ដឹង )   - វណ្ណៈ អ្នក ជា ឬ កសិករ   ( ជា មនុស្ស ដែល គ្មាន ឋាន អ្វី ឡើយ ឬ ហៅ ជា ប្រជាជន )   - វណ្ណៈ អ្នកងារ ឬ ទាសករ ( ទាសករ បម្រើ ព្រះរាជា ឬ មន្រ្ដី រាជការ ) ។
PT,12D2,Geography,S194,Q41,តើឧស្សាហកម្មមានតួនាទីចំពោះសេដ្ឋកិច្ចជាតិយ៉ាងដូចម្ដេច?,ឧស្សាហកម្មមានតួនាទីសម្រាប់សេដ្ឋកិច្ចជាតិដូចជា -ជួយបង្កើតប្រាក់ចំណូលចូលជាតិ -បង្កើតការងារដល់ប្រជាជន -បង្កើតប្រាក់ចំណូលចូលក្នុងគ្រួសារ -ប្រជាជនមានជីវភាពធូរធារ -ជួយរក្សាជញ្ជីងពាណិជ្ជកម្ម -ជួយបង្កើតទិន្នផលសម្រាប់ការនាំចេញនាំចូល -បង្កើននូវសង្ឃភារៈសម្រាប់ប្រើប្រាស់។,ឧស្សាហកម្មមានតួនាទីចំពោះសេដ្ឋកិច្ចជាតិដូចជា៖ -បង្កើនប្រាក់ចំណូលចូលចិត្ត -សេដ្ឋកិច្ចជាតិមានប្រាក់ចំណូលចូលអាចផ្គត់ផ្គង់ជីវភាណបាន -អាចលក់ចេញ និងអភិវឌ្ឍន៍សេដ្ឋកិច្ចឲ្យកាន់តែខ្លាំង -ទិន្នផលកាន់តែកើនឡើងជាលំដាប់ -ផ្គត់ផ្គង់សេដ្ឋកិច្ច -បានរក្សាកម្មសិទ្ធឯកជន -ផលិតសម្ភារៈនិងរបស់របរផ្សេងទៀត -បង្កើនផលិតផល -ធ្វើឲ្យសេដ្ឋកិច្ចកាន់តែល្អប្រសើរលើវិស័យឧស្សាហកម្ម។,15,15,2026,1.0,4,តើ ឧស្សាហកម្ម មាន តួនាទី ចំពោះ សេដ្ឋកិច្ច ជាតិ យា៉ង ដូចម្ដេច ?,ឧស្សាហកម្ម មាន តួនាទី សម្រាប់ សេដ្ឋកិច្ច ជាតិ ដូចជា   - ជួយ បង្កើត ប្រាក់ ចំណូល ចូល ជាតិ   - បង្កើត ការងារ ដល់ ប្រជាជន   - បង្កើត ប្រាក់ ចំណូល ចូលក្នុង គ្រួសារ   - ប្រជាជន មាន ជីវភាព ធូរធារ   - ជួយ រក្សា ជញ្ជីង ពាណិជ្ជកម្ម   - ជួយ បង្កើត ទិន្នផល សម្រាប់ ការនាំចេញ នាំចូល   - បង្កើន នូវ សង្ឃ ភារៈ សម្រាប់ ប្រើប្រាស់ ។,ឧស្សាហកម្ម មាន តួនាទី ចំពោះ សេដ្ឋកិច្ច ជាតិ ដូច ជា៖   - បង្កើន ប្រាក់ ចំណូល ចូលចិត្ត   - សេដ្ឋកិច្ច ជាតិ មាន ប្រាក់ ចំណូល ចូល អាច ផ្គត់ផ្គង់ ជីវភាណ បាន   - អាច លក់ ចេញ   និង អភិវឌ្ឍន៍ សេដ្ឋកិច្ច្យ ឲ កាន់តែ ខ្លាំង   - ទិន្នផល កាន់តែ កើនឡើង ជាលំដាប់   - ផ្គត់ផ្គង់ សេដ្ឋកិច្ច   - បាន រក្សា កម្មសិទ្ធ ឯកជន   - ផលិត សម្ភារៈ និង របស់របរ ផ្សេង ទៀត   - បង្កើន ផលិតផល   - ធ្វ្យើឲ សេដ្ឋកិច្ចកាន់តែ ល្អ ប្រសើរ លើ វិស័យ ឧស្សាហកម្ម ។
