run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.3814,0.3889,0.7126,0.9903,0.2717,0.4239,2.7524,24.7081,0.4582,0.3764,0.7584,0.9101,0.2528,0.4719,2.6124,22.0131,0.3770,,3.1
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.8375,0.7089,0.9734,0.3176,0.2005,0.7560,1.1606,10.8950,0.7602,0.6742,0.9382,0.3876,0.2640,0.6966,1.4438,12.6812,0.6568,,58.6
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.3544,0.3563,0.7331,0.9795,0.1534,0.4372,2.7307,24.8664,0.4227,0.3258,0.7921,0.9213,0.1629,0.4551,2.6067,22.7047,0.3862,,3.1
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.8322,0.7077,0.9698,0.3225,0.1896,0.7488,1.1969,11.3701,0.7685,0.6742,0.9438,0.3820,0.2640,0.7135,1.3876,12.3067,0.6793,,57.8
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.3970,0.4143,0.7246,0.9565,0.2971,0.4565,2.6630,23.6171,0.4685,0.4101,0.7697,0.8820,0.2809,0.5112,2.5506,21.2360,0.3896,,3.6
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.8380,0.7101,0.9734,0.3164,0.2162,0.7415,1.1643,10.6916,0.7711,0.6798,0.9438,0.3764,0.2640,0.7022,1.4270,12.3957,0.6739,,58.1
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.3908,0.3901,0.7512,0.9203,0.1812,0.4674,2.6244,23.6376,0.4643,0.3708,0.8202,0.8483,0.1685,0.5112,2.5393,21.8198,0.4125,,3.8
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.8342,0.7114,0.9698,0.3188,0.2210,0.7536,1.1618,10.7028,0.7750,0.6854,0.9438,0.3708,0.2809,0.7135,1.3596,11.8526,0.6798,,58.5
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.4051,0.4263,0.7428,0.8841,0.3092,0.4843,2.4239,21.2842,0.4899,0.4157,0.8202,0.8034,0.2921,0.4944,2.3989,19.8736,0.4391,,15.1
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.8360,0.7126,0.9710,0.3164,0.2391,0.7536,1.1413,10.3745,0.7699,0.6798,0.9438,0.3764,0.2697,0.7191,1.4045,12.0820,0.6691,,58.4
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.3750,0.3744,0.7621,0.9034,0.2029,0.4734,2.4819,22.1127,0.4118,0.3315,0.8258,0.8708,0.1742,0.4831,2.4382,20.8273,0.4078,,15.3
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.8315,0.7077,0.9698,0.3225,0.2403,0.7560,1.1546,10.5186,0.7707,0.6798,0.9438,0.3764,0.2697,0.7247,1.3876,12.1429,0.6909,,58.1
