run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.4238,0.4191,0.7814,0.8104,0.1812,0.4674,2.6244,23.6376,0.4861,0.4157,0.8539,0.7472,0.1685,0.5112,2.5393,21.8198,0.4929,,0.2
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.8508,0.6981,0.9638,0.3406,0.2210,0.7536,1.1618,10.7028,0.7834,0.6629,0.9270,0.4157,0.2809,0.7135,1.3596,11.8526,0.7744,,0.1
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.4194,0.4082,0.7886,0.8357,0.2971,0.4565,2.6630,23.6171,0.5491,0.4270,0.8652,0.7135,0.2809,0.5112,2.5506,21.2360,0.5052,,0.2
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.8306,0.6329,0.9589,0.4082,0.2162,0.7415,1.1643,10.6916,0.7865,0.6292,0.9382,0.4382,0.2640,0.7022,1.4270,12.3957,0.7590,,0.2
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.4257,0.4094,0.7935,0.8043,0.1534,0.4372,2.7307,24.8664,0.4622,0.4157,0.8539,0.7528,0.1629,0.4551,2.6067,22.7047,0.4782,,0.2
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.8523,0.6993,0.9650,0.3382,0.1896,0.7488,1.1969,11.3701,0.7790,0.6517,0.9270,0.4270,0.2640,0.7135,1.3876,12.3067,0.7759,,0.1
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.4313,0.4179,0.7729,0.8454,0.2717,0.4239,2.7524,24.7081,0.4890,0.4551,0.8371,0.7528,0.2528,0.4719,2.6124,22.0131,0.4932,,0.2
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.8394,0.6618,0.9577,0.3804,0.2005,0.7560,1.1606,10.8950,0.7817,0.6348,0.9326,0.4382,0.2640,0.6966,1.4438,12.6812,0.7716,,0.2
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.4097,0.4191,0.7681,0.8249,0.2029,0.4734,2.4819,22.1127,0.4593,0.4101,0.8539,0.7640,0.1742,0.4831,2.4382,20.8273,0.4914,,0.2
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.8517,0.7222,0.9771,0.3031,0.2403,0.7560,1.1546,10.5186,0.7629,0.7303,0.9270,0.3539,0.2697,0.7247,1.3876,12.1429,0.7919,,0.2
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.4184,0.4698,0.7319,0.8478,0.3092,0.4843,2.4239,21.2842,0.4665,0.5000,0.7697,0.7753,0.2921,0.4944,2.3989,19.8736,0.4865,,0.2
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.8498,0.6908,0.9626,0.3466,0.2391,0.7536,1.1413,10.3745,0.7828,0.6573,0.9382,0.4157,0.2697,0.7191,1.4045,12.0820,0.7760,,0.2
