run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_bilstm_maxfeat,raw,ra,bilstm_maxfeat,bilstm_maxfeat,0.7643,0.6268,0.9444,0.4312,0.3599,0.6667,1.3611,11.5532,0.7250,0.6798,0.9101,0.4270,0.4382,0.6742,1.5169,11.9148,0.6531,9,11.1
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.7970,0.6341,0.9674,0.3998,0.4167,0.6932,1.1655,9.9862,0.6886,0.6292,0.9045,0.4775,0.4494,0.6798,1.4494,11.4419,0.6638,20,12.8
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8356,0.7101,0.9650,0.3261,0.4444,0.7331,1.0471,8.9526,0.7516,0.6573,0.9326,0.4213,0.3933,0.7191,1.3764,11.1610,0.6524,19,13.5
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.8054,0.6486,0.9662,0.3865,0.4275,0.7343,1.0870,9.2181,0.7462,0.6236,0.9382,0.4438,0.4157,0.6910,1.4157,11.2921,0.6956,20,13.9
segment_ra_bilstm_maxfeat,segment,ra,bilstm_maxfeat,bilstm_maxfeat,0.8415,0.7295,0.9650,0.3068,0.4650,0.7512,0.9976,8.5138,0.7448,0.6742,0.9326,0.4101,0.4157,0.7191,1.4494,11.2968,0.6895,20,25.7
segment_qar_bilstm_maxfeat,segment,qar,bilstm_maxfeat,bilstm_maxfeat,0.6671,0.5471,0.9275,0.5362,0.3551,0.6184,1.5447,13.0267,0.6276,0.6011,0.8989,0.5281,0.3876,0.6292,1.6910,13.4551,0.6169,11,22.6
raw_ra_dual_mbert_maxfeat,raw,ra,dual_mbert_maxfeat,dual_maxfeat,0.7175,0.5906,0.9300,0.4831,0.3333,0.6534,1.4577,12.5464,0.7147,0.6067,0.9270,0.4719,0.3483,0.6404,1.5955,12.9728,0.6565,8,91.0
raw_ra_dual_xlmr_maxfeat,raw,ra,dual_xlmr_maxfeat,dual_maxfeat,0.8192,0.6703,0.9698,0.3611,0.4287,0.7367,1.0737,9.2555,0.7360,0.6910,0.9326,0.3933,0.4438,0.7247,1.3146,10.5197,0.6901,15,142.1
raw_ra_dual_gte_maxfeat,raw,ra,dual_gte_maxfeat,dual_maxfeat,0.8459,0.6751,0.9758,0.3490,0.3901,0.7271,1.0966,9.3751,0.7945,0.7303,0.9382,0.3427,0.4213,0.7022,1.2921,10.4916,0.7586,8,113.6
raw_ra_cross_mbert_maxfeat,raw,ra,cross_mbert_maxfeat,cross_maxfeat,0.7540,0.6413,0.9420,0.4251,0.4336,0.6908,1.2802,10.8537,0.6413,0.6348,0.8933,0.5000,0.4157,0.6910,1.5674,12.6826,0.6366,11,66.7
raw_ra_cross_xlmr_maxfeat,raw,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8144,0.6606,0.9722,0.3696,0.4577,0.7234,1.0664,9.1415,0.7728,0.7247,0.9270,0.3596,0.4607,0.7079,1.3034,10.4775,0.7329,13,90.1
raw_ra_cross_gte_maxfeat,raw,ra,cross_gte_maxfeat,cross_maxfeat,0.7562,0.6365,0.9408,0.4251,0.3901,0.6848,1.2995,11.0420,0.7288,0.6685,0.9213,0.4213,0.4157,0.7079,1.3764,10.9176,0.6690,6,65.8
raw_qar_dual_mbert_maxfeat,raw,qar,dual_mbert_maxfeat,dual_maxfeat,0.7526,0.6196,0.9384,0.4457,0.3671,0.6763,1.3285,11.4798,0.6755,0.6461,0.8876,0.4831,0.3933,0.7022,1.6011,12.9869,0.6952,13,124.2
raw_qar_dual_xlmr_maxfeat,raw,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8113,0.6606,0.9601,0.3804,0.3889,0.7077,1.1703,10.0394,0.7915,0.7135,0.9494,0.3483,0.4494,0.7247,1.2865,10.2903,0.7315,14,144.7
raw_qar_dual_gte_maxfeat,raw,qar,dual_gte_maxfeat,dual_maxfeat,0.8509,0.6957,0.9819,0.3225,0.4674,0.7729,0.9360,8.0696,0.7838,0.7135,0.9438,0.3539,0.5056,0.7360,1.1404,9.3446,0.7758,9,122.4
raw_qar_cross_mbert_maxfeat,raw,qar,cross_mbert_maxfeat,cross_maxfeat,0.7387,0.6027,0.9457,0.4529,0.4300,0.6618,1.3056,11.0933,0.6655,0.6517,0.8989,0.4719,0.4382,0.6854,1.5337,12.2659,0.6187,12,74.2
raw_qar_cross_xlmr_maxfeat,raw,qar,cross_xlmr_maxfeat,cross_maxfeat,0.7910,0.6510,0.9626,0.3877,0.3804,0.7053,1.2150,10.4450,0.7045,0.6854,0.9045,0.4270,0.4551,0.7135,1.4101,11.1096,0.6922,12,87.2
raw_qar_cross_gte_maxfeat,raw,qar,cross_gte_maxfeat,cross_maxfeat,0.7723,0.6461,0.9505,0.4070,0.3925,0.6787,1.2693,10.7952,0.7300,0.6742,0.9326,0.4157,0.4101,0.7022,1.4157,11.4466,0.6641,8,73.7
clean_ra_dual_mbert_maxfeat,clean,ra,dual_mbert_maxfeat,dual_maxfeat,0.5664,0.4408,0.8961,0.6727,0.2500,0.5229,1.9130,16.8488,0.6189,0.5169,0.8876,0.6011,0.2416,0.5337,1.9382,16.6306,0.4789,8,87.1
clean_ra_dual_xlmr_maxfeat,clean,ra,dual_xlmr_maxfeat,dual_maxfeat,0.8050,0.6510,0.9674,0.3841,0.3877,0.6944,1.1920,10.2175,0.7061,0.6517,0.9213,0.4438,0.3933,0.6854,1.5056,11.9757,0.6896,14,134.6
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.8389,0.6739,0.9758,0.3502,0.3998,0.7258,1.0713,9.2794,0.7986,0.7135,0.9494,0.3483,0.4157,0.7247,1.2472,10.2622,0.7697,8,114.3
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.5409,0.4674,0.8901,0.6534,0.2162,0.5471,1.9952,17.3472,0.5947,0.5393,0.8933,0.5787,0.1854,0.6011,1.9944,17.1709,0.5386,11,68.7
clean_ra_cross_xlmr_maxfeat,clean,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8161,0.6860,0.9626,0.3539,0.4650,0.7222,1.0483,9.0197,0.7737,0.7079,0.9438,0.3652,0.4438,0.7247,1.2528,10.1732,0.7543,14,91.3
