run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.8074,0.6606,0.9553,0.3853,0.4275,0.7343,1.0870,9.2181,0.7426,0.6461,0.9270,0.4382,0.4157,0.6910,1.4157,11.2921,0.7176,,0.4
clean_qar_cross_gte_maxfeat,clean,qar,cross_gte_maxfeat,cross_maxfeat,0.8172,0.6739,0.9541,0.3732,0.4239,0.7041,1.1268,9.7549,0.7134,0.6573,0.9101,0.4551,0.4382,0.7135,1.3596,11.3015,0.7500,,0.5
clean_qar_cross_mbert_maxfeat,clean,qar,cross_mbert_maxfeat,cross_maxfeat,0.4587,0.4239,0.7838,0.8080,0.1884,0.4094,2.2645,20.5287,0.5253,0.4775,0.7978,0.7472,0.2022,0.4157,2.2528,20.4842,0.4514,,0.4
clean_qar_cross_xlmr_maxfeat,clean,qar,cross_xlmr_maxfeat,cross_maxfeat,0.8077,0.6256,0.9408,0.4360,0.4046,0.7198,1.1679,10.0617,0.7315,0.6180,0.9157,0.4944,0.4157,0.6854,1.3989,11.2172,0.7271,,0.4
clean_qar_dual_gte_maxfeat,clean,qar,dual_gte_maxfeat,dual_maxfeat,0.8730,0.7283,0.9831,0.2886,0.5145,0.7862,0.8321,7.3311,0.8127,0.7303,0.9551,0.3258,0.5730,0.7697,0.9944,8.0805,0.8015,,0.5
clean_qar_dual_mbert_maxfeat,clean,qar,dual_mbert_maxfeat,dual_maxfeat,0.5458,0.4215,0.8128,0.8019,0.1969,0.5024,2.0749,18.3316,0.5881,0.4831,0.8258,0.7303,0.1629,0.5449,2.0787,18.0464,0.5669,,0.4
clean_qar_dual_xlmr_maxfeat,clean,qar,dual_xlmr_maxfeat,dual_maxfeat,0.7518,0.6159,0.9432,0.4493,0.3635,0.6594,1.3792,11.6871,0.6770,0.6517,0.9045,0.4663,0.3989,0.6910,1.4831,11.8258,0.7362,,0.4
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8383,0.7114,0.9601,0.3309,0.4444,0.7331,1.0471,8.9526,0.7570,0.6742,0.9270,0.4157,0.3933,0.7191,1.3764,11.1610,0.6944,,0.4
clean_ra_cross_gte_maxfeat,clean,ra,cross_gte_maxfeat,cross_maxfeat,0.7831,0.6510,0.9457,0.4106,0.3780,0.6896,1.3056,11.0359,0.7740,0.6798,0.9270,0.3989,0.4213,0.6854,1.3483,10.8848,0.7184,,0.4
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.5636,0.4263,0.8708,0.7331,0.2162,0.5471,1.9952,17.3472,0.5785,0.4831,0.8708,0.6854,0.1854,0.6011,1.9944,17.1709,0.5713,,0.3
clean_ra_cross_xlmr_maxfeat,clean,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8246,0.6775,0.9601,0.3647,0.4650,0.7222,1.0483,9.0197,0.7710,0.6685,0.9438,0.4045,0.4438,0.7247,1.2528,10.1732,0.7758,,0.4
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.8146,0.6908,0.9396,0.3720,0.3998,0.7258,1.0713,9.2794,0.7697,0.6798,0.9213,0.4101,0.4157,0.7247,1.2472,10.2622,0.7963,,0.5
clean_ra_dual_mbert_maxfeat,clean,ra,dual_mbert_maxfeat,dual_maxfeat,0.5928,0.4807,0.8659,0.6703,0.2500,0.5229,1.9130,16.8488,0.6580,0.5562,0.8876,0.5730,0.2416,0.5337,1.9382,16.6306,0.5874,,0.5
clean_ra_dual_xlmr_maxfeat,clean,ra,dual_xlmr_maxfeat,dual_maxfeat,0.7988,0.6171,0.9541,0.4300,0.3877,0.6944,1.1920,10.2175,0.7213,0.6517,0.9101,0.4551,0.3933,0.6854,1.5056,11.9757,0.7030,,0.4
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.8012,0.6292,0.9601,0.4118,0.4167,0.6932,1.1655,9.9862,0.7199,0.6180,0.9045,0.4831,0.4494,0.6798,1.4494,11.4419,0.7174,,0.4
raw_qar_cross_gte_maxfeat,raw,qar,cross_gte_maxfeat,cross_maxfeat,0.7678,0.6196,0.9372,0.4481,0.3925,0.6787,1.2693,10.7952,0.7127,0.6236,0.9270,0.4831,0.4101,0.7022,1.4157,11.4466,0.6828,,0.4
raw_qar_cross_mbert_maxfeat,raw,qar,cross_mbert_maxfeat,cross_maxfeat,0.7530,0.6316,0.9384,0.4336,0.4300,0.6618,1.3056,11.0933,0.6795,0.6742,0.8933,0.4551,0.4382,0.6854,1.5337,12.2659,0.6563,,0.4
raw_qar_cross_xlmr_maxfeat,raw,qar,cross_xlmr_maxfeat,cross_maxfeat,0.7897,0.5713,0.9541,0.4783,0.3804,0.7053,1.2150,10.4450,0.7182,0.5955,0.9157,0.5112,0.4551,0.7135,1.4101,11.1096,0.7063,,0.3
raw_qar_dual_gte_maxfeat,raw,qar,dual_gte_maxfeat,dual_maxfeat,0.8431,0.6401,0.9843,0.3756,0.4674,0.7729,0.9360,8.0696,0.7596,0.6348,0.9438,0.4326,0.5056,0.7360,1.1404,9.3446,0.7886,,0.5
raw_qar_dual_mbert_maxfeat,raw,qar,dual_mbert_maxfeat,dual_maxfeat,0.7447,0.5857,0.9541,0.4638,0.3671,0.6763,1.3285,11.4798,0.6454,0.6124,0.9045,0.5112,0.3933,0.7022,1.6011,12.9869,0.7028,,0.5
raw_qar_dual_xlmr_maxfeat,raw,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8073,0.6208,0.9674,0.4130,0.3889,0.7077,1.1703,10.0394,0.7610,0.6517,0.9438,0.4157,0.4494,0.7247,1.2865,10.2903,0.7441,,0.4
