run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_dual_mbert,raw,ra,dual_mbert,dual,0.7711,0.6316,0.9505,0.4215,0.3877,0.6969,1.2440,10.7620,0.7021,0.6236,0.9045,0.4831,0.3820,0.6910,1.5506,12.4251,0.6938,16,144.6
raw_ra_dual_xlmr,raw,ra,dual_xlmr,dual,0.7896,0.6353,0.9577,0.4082,0.3829,0.7053,1.1932,10.3454,0.7308,0.6517,0.9270,0.4326,0.3596,0.6798,1.4831,11.9663,0.6958,13,127.3
raw_ra_dual_gte,raw,ra,dual_gte,dual,0.8389,0.6824,0.9722,0.3454,0.4348,0.7162,1.0495,8.9211,0.7803,0.6910,0.9270,0.3820,0.4551,0.7191,1.2753,10.2809,0.7600,8,113.4
raw_ra_cross_mbert,raw,ra,cross_mbert,cross,0.6908,0.5519,0.9432,0.5097,0.3599,0.6280,1.4493,12.2245,0.6552,0.6348,0.9157,0.4719,0.4045,0.6517,1.4775,11.8820,0.6267,9,60.4
raw_ra_cross_xlmr,raw,ra,cross_xlmr,cross,0.7832,0.6606,0.9493,0.3937,0.4384,0.6872,1.2234,10.3987,0.7407,0.6742,0.9213,0.4157,0.4551,0.6854,1.3483,10.9036,0.6877,10,75.5
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.8587,0.7258,0.9758,0.2983,0.4698,0.7899,0.8865,7.7768,0.7512,0.6854,0.9213,0.4045,0.4551,0.7247,1.2584,9.9953,0.7330,19,118.8
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.6675,0.5217,0.9287,0.5519,0.2343,0.6002,1.6425,14.5685,0.6688,0.5843,0.9157,0.5056,0.2360,0.6461,1.7753,15.2281,0.6180,5,69.5
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.8453,0.6932,0.9758,0.3309,0.4360,0.7488,0.9964,8.6645,0.7654,0.6910,0.9382,0.3820,0.4326,0.6966,1.3090,10.4635,0.7503,19,153.2
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.8501,0.6920,0.9771,0.3309,0.4251,0.7428,1.0097,8.6374,0.7946,0.7472,0.9382,0.3258,0.4438,0.7472,1.1854,9.6301,0.7628,11,139.2
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.7906,0.6775,0.9420,0.3841,0.4263,0.7005,1.1848,10.2740,0.6746,0.6798,0.8820,0.4663,0.4382,0.6966,1.5281,12.3549,0.6880,20,97.1
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.8292,0.7041,0.9638,0.3345,0.4324,0.7198,1.1063,9.5856,0.7264,0.6742,0.9101,0.4326,0.4326,0.7022,1.4326,11.5403,0.7021,13,85.3
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.8300,0.6920,0.9662,0.3430,0.3949,0.7041,1.1546,9.9658,0.7323,0.6685,0.9101,0.4326,0.3764,0.6798,1.4719,12.2331,0.7176,12,94.6
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.6062,0.4903,0.9155,0.5990,0.2923,0.5725,1.7669,15.2195,0.6458,0.5674,0.8989,0.5393,0.3034,0.6180,1.8202,14.9906,0.5081,14,133.9
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.7799,0.6232,0.9541,0.4239,0.3744,0.6884,1.2705,10.9351,0.6780,0.6461,0.8989,0.4719,0.4157,0.6854,1.5449,12.1489,0.7111,11,119.0
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.8538,0.7114,0.9783,0.3104,0.4698,0.7572,0.9577,8.2348,0.7824,0.7303,0.9382,0.3427,0.4663,0.7303,1.2135,9.8736,0.7799,7,104.0
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.5609,0.4903,0.8829,0.6365,0.2754,0.5652,1.8647,15.9491,0.6429,0.5449,0.9101,0.5562,0.2584,0.6124,1.8258,15.3384,0.5566,15,83.3
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.8318,0.6896,0.9710,0.3394,0.4915,0.7500,0.9638,8.3202,0.7553,0.6854,0.9326,0.3933,0.5225,0.7135,1.2584,10.0936,0.7595,16,103.9
clean_ra_cross_gte,clean,ra,cross_gte,cross,0.8101,0.6703,0.9650,0.3671,0.4360,0.7222,1.1051,9.5061,0.7449,0.7079,0.9213,0.3876,0.4382,0.7247,1.3146,10.5946,0.7385,10,84.6
clean_qar_dual_mbert,clean,qar,dual_mbert,dual,0.5155,0.4070,0.8901,0.7077,0.2174,0.5072,2.0302,18.1877,0.5227,0.4157,0.8933,0.6966,0.2135,0.5562,2.0056,17.6391,0.4401,4,64.1
clean_qar_dual_xlmr,clean,qar,dual_xlmr,dual,0.7936,0.6461,0.9541,0.4010,0.3829,0.6872,1.2705,10.8115,0.7063,0.6517,0.9157,0.4494,0.3764,0.7135,1.5112,12.0693,0.7171,13,128.2
clean_qar_dual_gte,clean,qar,dual_gte,dual,0.8453,0.6896,0.9758,0.3345,0.4710,0.7669,0.9662,8.3184,0.7549,0.6966,0.9326,0.3876,0.4831,0.7191,1.2247,10.0375,0.7597,8,115.0
clean_qar_cross_mbert,clean,qar,cross_mbert,cross,0.3094,0.3321,0.7983,0.8708,0.0773,0.3925,2.4843,23.4698,0.2938,0.3427,0.8146,0.8539,0.1067,0.4045,2.5112,23.7319,0.3235,2,31.9
clean_qar_cross_xlmr,clean,qar,cross_xlmr,cross,0.7572,0.5954,0.9517,0.4577,0.3490,0.6691,1.3744,11.7907,0.6660,0.5674,0.9101,0.5449,0.4045,0.6236,1.6629,13.5815,0.6577,9,68.7
clean_qar_cross_gte,clean,qar,cross_gte,cross,0.8501,0.7198,0.9722,0.3080,0.4819,0.7488,0.9650,8.2850,0.7562,0.7022,0.9326,0.3820,0.4888,0.7191,1.2809,10.3184,0.7208,19,116.7
segment_ra_dual_mbert,segment,ra,dual_mbert,dual,0.4993,0.3370,0.8913,0.7814,0.1268,0.4010,2.2548,20.5057,0.5331,0.2978,0.9101,0.7921,0.1124,0.3539,2.3933,21.6874,0.4595,4,74.9
segment_ra_dual_xlmr,segment,ra,dual_xlmr,dual,0.8335,0.7029,0.9674,0.3309,0.4553,0.7367,1.0302,8.8820,0.7709,0.6966,0.9326,0.3764,0.4382,0.7191,1.2921,10.2247,0.7386,11,127.4
segment_ra_dual_gte,segment,ra,dual_gte,dual,0.8455,0.6993,0.9758,0.3261,0.4348,0.7367,1.0169,8.6908,0.7703,0.6966,0.9382,0.3764,0.4382,0.7191,1.2753,10.3418,0.7859,8,127.7
segment_ra_cross_mbert,segment,ra,cross_mbert,cross,0.2754,0.3007,0.8502,0.8611,0.1292,0.3961,2.3647,21.6619,0.2694,0.2697,0.8596,0.8820,0.1517,0.3876,2.4326,22.2492,0.1975,3,48.5
segment_ra_cross_xlmr,segment,ra,cross_xlmr,cross,0.7795,0.6763,0.9420,0.3901,0.3635,0.6944,1.2923,11.1716,0.7436,0.6854,0.9213,0.4101,0.4494,0.7135,1.3539,10.9644,0.7325,9,85.7
segment_ra_cross_gte,segment,ra,cross_gte,cross,0.8491,0.7307,0.9686,0.3007,0.4831,0.7548,0.9517,8.1724,0.7612,0.7303,0.9270,0.3596,0.4888,0.7416,1.2360,9.8642,0.7538,16,136.4
segment_qar_dual_mbert,segment,qar,dual_mbert,dual,0.5016,0.3768,0.9046,0.7210,0.2005,0.4988,2.0785,18.4532,0.5449,0.3539,0.9326,0.7135,0.1629,0.4944,2.1966,19.2075,0.4318,4,78.1
segment_qar_dual_xlmr,segment,qar,dual_xlmr,dual,0.7977,0.6812,0.9481,0.3732,0.4034,0.6920,1.2210,10.3685,0.7417,0.6517,0.9382,0.4213,0.4157,0.6461,1.4326,11.4279,0.7206,8,113.3
segment_qar_dual_gte,segment,qar,dual_gte,dual,0.8202,0.6618,0.9710,0.3696,0.4263,0.7089,1.1268,9.5392,0.7516,0.7135,0.9213,0.3820,0.4494,0.6910,1.3202,10.5665,0.7497,7,118.3
segment_qar_cross_mbert,segment,qar,cross_mbert,cross,0.4032,0.3623,0.8563,0.7862,0.2162,0.4348,2.2005,19.9218,0.3989,0.3483,0.8820,0.7809,0.2191,0.4157,2.2640,20.7043,0.3192,12,86.9
segment_qar_cross_xlmr,segment,qar,cross_xlmr,cross,0.7786,0.6546,0.9457,0.4046,0.3973,0.7053,1.2415,10.5116,0.6896,0.6517,0.9045,0.4663,0.4045,0.6629,1.5337,12.1629,0.6762,12,96.2
segment_qar_cross_gte,segment,qar,cross_gte,cross,0.7363,0.6280,0.9384,0.4420,0.3853,0.6775,1.3370,11.1909,0.7020,0.6573,0.8989,0.4494,0.4101,0.6348,1.4494,11.7743,0.7092,7,85.2
