run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_cross_gte,clean,qar,cross_gte,cross,0.8472,0.6944,0.9698,0.3357,0.4819,0.7488,0.9650,8.2850,0.7351,0.6798,0.9213,0.4213,0.4888,0.7191,1.2809,10.3184,0.7446,,0.4
clean_qar_cross_mbert,clean,qar,cross_mbert,cross,0.3482,0.3273,0.7355,0.9505,0.0773,0.3925,2.4843,23.4698,0.3303,0.3146,0.7584,0.9494,0.1067,0.4045,2.5112,23.7319,0.3681,,0.4
clean_qar_cross_xlmr,clean,qar,cross_xlmr,cross,0.7653,0.6220,0.9457,0.4384,0.3490,0.6691,1.3744,11.7907,0.6679,0.6067,0.8876,0.5281,0.4045,0.6236,1.6629,13.5815,0.6879,,0.4
clean_qar_dual_gte,clean,qar,dual_gte,dual,0.8323,0.6280,0.9686,0.4046,0.4710,0.7669,0.9662,8.3184,0.7471,0.6461,0.9157,0.4551,0.4831,0.7191,1.2247,10.0375,0.7705,,0.4
clean_qar_dual_mbert,clean,qar,dual_mbert,dual,0.5857,0.4710,0.8430,0.7114,0.2174,0.5072,2.0302,18.1877,0.6043,0.5337,0.8202,0.6742,0.2135,0.5562,2.0056,17.6391,0.5616,,0.4
clean_qar_dual_xlmr,clean,qar,dual_xlmr,dual,0.7789,0.5362,0.9601,0.5072,0.3829,0.6872,1.2705,10.8115,0.7438,0.6011,0.9213,0.4775,0.3764,0.7135,1.5112,12.0693,0.7618,,0.4
clean_ra_cross_gte,clean,ra,cross_gte,cross,0.7767,0.5713,0.9577,0.4795,0.4360,0.7222,1.1051,9.5061,0.7097,0.5787,0.9045,0.5337,0.4382,0.7247,1.3146,10.5946,0.7659,,0.4
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.6015,0.4940,0.8792,0.6461,0.2754,0.5652,1.8647,15.9491,0.6474,0.5506,0.8876,0.5843,0.2584,0.6124,1.8258,15.3384,0.6025,,0.5
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.8287,0.6075,0.9662,0.4263,0.4915,0.7500,0.9638,8.3202,0.7545,0.6404,0.9045,0.4663,0.5225,0.7135,1.2584,10.0936,0.7755,,0.3
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.8495,0.7077,0.9698,0.3225,0.4698,0.7572,0.9577,8.2348,0.7828,0.7135,0.9382,0.3596,0.4663,0.7303,1.2135,9.8736,0.7914,,0.5
