run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.4639,0.3978,0.7264,0.9513,0.3160,0.4701,2.7107,23.2405,0.4864,0.4234,0.7591,0.8832,0.3212,0.4818,2.5109,21.2956,0.5007,,2.4
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.9129,0.7925,0.9937,0.2138,0.2075,0.8569,0.9670,9.4347,0.8109,0.6569,0.9635,0.3796,0.1752,0.6861,1.5036,13.3246,0.8247,,30.5
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.4272,0.3412,0.7280,0.9953,0.1619,0.4513,2.7925,24.5725,0.4442,0.3285,0.7664,0.9562,0.1460,0.4672,2.6350,23.1117,0.4605,,2.5
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.9093,0.7925,0.9906,0.2170,0.2437,0.8475,0.9560,9.1622,0.7982,0.6423,0.9562,0.4015,0.1679,0.6861,1.5109,13.5740,0.8445,,30.5
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.4865,0.4497,0.7437,0.8852,0.3270,0.5031,2.6321,22.3482,0.5156,0.4526,0.7956,0.8248,0.3139,0.5182,2.4818,20.7847,0.5005,,3.0
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.9134,0.7940,0.9937,0.2123,0.2013,0.8695,0.9638,9.5173,0.8155,0.6642,0.9635,0.3723,0.1533,0.6715,1.5474,14.0302,0.8291,,30.7
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.4374,0.3648,0.7657,0.9418,0.1918,0.5000,2.6651,23.2504,0.4470,0.3212,0.7883,0.9416,0.1752,0.4964,2.5401,22.1263,0.4294,,3.1
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.9119,0.7987,0.9906,0.2107,0.2091,0.8396,1.0000,9.7282,0.7982,0.6423,0.9562,0.4015,0.1460,0.7007,1.5182,13.7626,0.8380,,30.7
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.5037,0.4340,0.7830,0.8365,0.3522,0.5079,2.3789,20.0943,0.5272,0.4672,0.8102,0.7810,0.3212,0.5328,2.2847,19.1058,0.5459,,12.8
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.9102,0.7893,0.9921,0.2186,0.3270,0.8365,0.8789,7.7403,0.8010,0.6350,0.9635,0.4015,0.2993,0.6861,1.4015,11.3634,0.8518,,34.6
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.4550,0.3648,0.7814,0.8899,0.2060,0.4921,2.4544,21.2558,0.4453,0.3358,0.8175,0.8978,0.1606,0.5109,2.4015,20.8551,0.4673,,12.9
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.9073,0.7909,0.9890,0.2201,0.2437,0.8506,0.9623,9.2262,0.7949,0.6350,0.9562,0.4088,0.1898,0.7226,1.4453,12.7989,0.8436,,34.5
