run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.4568,0.4010,0.7348,0.9425,0.3291,0.4856,2.6102,22.6506,0.4525,0.4444,0.7037,0.9111,0.3481,0.5037,2.3778,21.2037,0.4787,,1.7
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.9037,0.7843,0.9952,0.2204,0.2380,0.8323,0.9505,9.1891,0.7906,0.6222,0.9704,0.4074,0.1556,0.6815,1.4815,13.1041,0.7667,,47.5
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.4045,0.3179,0.7396,1.0080,0.1693,0.4696,2.6917,23.9989,0.3968,0.3481,0.7333,0.9704,0.1778,0.4815,2.4963,22.8818,0.4009,,1.8
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.9029,0.7827,0.9952,0.2220,0.2364,0.8450,0.9473,9.1864,0.7972,0.6296,0.9704,0.4000,0.1704,0.6741,1.4593,12.9683,0.7626,,46.3
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.4805,0.4489,0.7556,0.8770,0.3227,0.5224,2.5463,21.9291,0.4879,0.4889,0.7556,0.8222,0.3407,0.5259,2.3407,20.4321,0.4990,,2.3
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.9044,0.7859,0.9952,0.2188,0.2748,0.8339,0.9153,8.5368,0.7799,0.6222,0.9630,0.4148,0.1852,0.6815,1.4519,12.6534,0.7601,,48.3
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.4313,0.3578,0.7732,0.9409,0.1789,0.5176,2.5751,22.7689,0.4187,0.3926,0.7704,0.9037,0.2000,0.5111,2.4074,21.9312,0.4095,,2.4
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.9024,0.7859,0.9936,0.2204,0.2716,0.8498,0.9105,8.4543,0.8024,0.6370,0.9704,0.3926,0.1852,0.6889,1.4296,12.6041,0.7559,,47.7
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.5090,0.4425,0.7923,0.8147,0.3626,0.5256,2.2732,19.5114,0.5030,0.4667,0.7926,0.7852,0.3704,0.5111,2.1481,18.5926,0.4947,,8.6
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.9046,0.7859,0.9952,0.2188,0.2827,0.8435,0.9026,8.2466,0.7946,0.6296,0.9704,0.4000,0.2000,0.7111,1.4296,12.3695,0.7541,,52.3
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.4639,0.3658,0.7923,0.8722,0.2173,0.5128,2.3450,20.6479,0.4519,0.3630,0.8074,0.8667,0.2074,0.5185,2.2444,20.2213,0.4310,,8.5
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.9039,0.7891,0.9936,0.2173,0.2045,0.8450,0.9872,9.7429,0.8026,0.6444,0.9704,0.3852,0.1407,0.7185,1.4519,13.2337,0.7460,,62.3
