run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.5486,0.4601,0.8339,0.7220,0.1789,0.5176,2.5751,22.7689,0.5375,0.4889,0.8222,0.7037,0.2000,0.5111,2.4074,21.9312,0.5619,,0.2
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.9392,0.8594,0.9952,0.1470,0.2716,0.8498,0.9105,8.4543,0.8436,0.7259,0.9704,0.3111,0.1852,0.6889,1.4296,12.6041,0.8281,,0.2
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.5109,0.4297,0.8450,0.7636,0.3227,0.5224,2.5463,21.9291,0.5425,0.4370,0.8593,0.7185,0.3407,0.5259,2.3407,20.4321,0.5541,,0.2
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.9377,0.8562,0.9952,0.1502,0.2748,0.8339,0.9153,8.5368,0.8635,0.7556,0.9778,0.2741,0.1852,0.6815,1.4519,12.6534,0.8261,,0.2
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.5286,0.4537,0.8275,0.7444,0.1693,0.4696,2.6917,23.9989,0.5410,0.4815,0.8296,0.7037,0.1778,0.4815,2.4963,22.8818,0.5647,,0.2
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.9390,0.8594,0.9952,0.1470,0.2364,0.8450,0.9473,9.1864,0.8495,0.7407,0.9704,0.2963,0.1704,0.6741,1.4593,12.9683,0.8281,,0.2
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.4957,0.4153,0.8163,0.8323,0.3291,0.4856,2.6102,22.6506,0.5039,0.4148,0.8000,0.8222,0.3481,0.5037,2.3778,21.2037,0.5575,,0.2
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.9378,0.8562,0.9952,0.1502,0.2380,0.8323,0.9505,9.1891,0.8477,0.7407,0.9704,0.2963,0.1556,0.6815,1.4815,13.1041,0.8261,,0.2
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.5683,0.4776,0.8259,0.7013,0.2173,0.5128,2.3450,20.6479,0.5340,0.5259,0.8000,0.6889,0.2074,0.5185,2.2444,20.2213,0.5505,,0.2
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.9360,0.8371,0.9968,0.1677,0.2045,0.8450,0.9872,9.7429,0.8325,0.7333,0.9630,0.3185,0.1407,0.7185,1.4519,13.2337,0.8242,,0.2
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.5309,0.4473,0.8419,0.7332,0.3626,0.5256,2.2732,19.5114,0.5349,0.4593,0.8370,0.7111,0.3704,0.5111,2.1481,18.5926,0.5646,,0.2
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.9451,0.8738,0.9952,0.1326,0.2827,0.8435,0.9026,8.2466,0.8486,0.7556,0.9778,0.2815,0.2000,0.7111,1.4296,12.3695,0.8337,,0.2
