run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_bilstm_maxfeat,raw,ra,bilstm_maxfeat,bilstm_maxfeat,0.8812,0.7620,0.9824,0.2572,0.5080,0.7812,0.9073,7.5842,0.7904,0.6889,0.9481,0.3704,0.4667,0.7111,1.2815,10.0309,0.7781,17,10.0
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.8493,0.7364,0.9712,0.2955,0.4345,0.7636,1.0479,8.7837,0.7950,0.7185,0.9333,0.3556,0.4815,0.7259,1.2741,10.0679,0.7050,19,10.0
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.9031,0.8195,0.9856,0.1997,0.4792,0.8131,0.8546,7.2248,0.7900,0.7185,0.9556,0.3481,0.4593,0.7185,1.2370,9.9136,0.7881,20,10.7
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.7073,0.5655,0.9377,0.5032,0.3355,0.6486,1.4936,12.5228,0.6777,0.5407,0.9333,0.5333,0.3259,0.6148,1.6222,13.2407,0.6523,10,8.1
segment_ra_bilstm_maxfeat,segment,ra,bilstm_maxfeat,bilstm_maxfeat,0.9051,0.8067,0.9856,0.2093,0.5192,0.8115,0.8291,6.7642,0.8172,0.7259,0.9481,0.3333,0.4963,0.7556,1.1778,9.3580,0.7961,20,21.1
segment_qar_bilstm_maxfeat,segment,qar,bilstm_maxfeat,bilstm_maxfeat,0.8116,0.6949,0.9553,0.3514,0.4649,0.7476,1.1326,9.1045,0.7325,0.6667,0.9037,0.4296,0.4889,0.7037,1.3556,10.2160,0.6615,20,20.8
raw_ra_dual_mbert_maxfeat,raw,ra,dual_mbert_maxfeat,dual_maxfeat,0.8097,0.6853,0.9505,0.3658,0.4201,0.7348,1.2396,10.1732,0.7875,0.7111,0.9259,0.3630,0.4519,0.7481,1.3185,10.2407,0.6889,7,64.0
raw_ra_dual_xlmr_maxfeat,raw,ra,dual_xlmr_maxfeat,dual_maxfeat,0.7676,0.6661,0.9457,0.3914,0.4297,0.7077,1.3610,10.7630,0.7612,0.6593,0.9407,0.4074,0.4667,0.7037,1.3481,10.3333,0.7110,9,81.6
raw_ra_dual_gte_maxfeat,raw,ra,dual_gte_maxfeat,dual_maxfeat,0.9040,0.8115,0.9808,0.2077,0.5319,0.8578,0.7652,6.2129,0.8338,0.7630,0.9630,0.2889,0.5481,0.8074,1.0222,7.8333,0.8259,5,72.8
raw_ra_cross_mbert_maxfeat,raw,ra,cross_mbert_maxfeat,cross_maxfeat,0.7465,0.6757,0.9249,0.4058,0.4744,0.7045,1.3115,10.5182,0.7054,0.6815,0.8963,0.4370,0.4815,0.6889,1.5926,12.2284,0.6722,7,42.6
raw_ra_cross_xlmr_maxfeat,raw,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8821,0.8003,0.9728,0.2300,0.5399,0.8035,0.9169,7.8345,0.8024,0.7630,0.9481,0.3111,0.5111,0.7111,1.2667,10.1358,0.8122,11,61.4
raw_ra_cross_gte_maxfeat,raw,ra,cross_gte_maxfeat,cross_maxfeat,0.9094,0.8403,0.9808,0.1821,0.5942,0.8850,0.6645,5.4903,0.8219,0.7556,0.9481,0.3111,0.5556,0.8222,1.0000,7.9753,0.7979,11,74.2
raw_qar_dual_mbert_maxfeat,raw,qar,dual_mbert_maxfeat,dual_maxfeat,0.8063,0.6949,0.9553,0.3546,0.4505,0.7300,1.2204,9.6940,0.7613,0.6889,0.9259,0.3926,0.5037,0.7333,1.3259,10.0494,0.6773,7,65.9
raw_qar_dual_xlmr_maxfeat,raw,qar,dual_xlmr_maxfeat,dual_maxfeat,0.9299,0.8355,0.9936,0.1709,0.5974,0.8690,0.6230,5.2360,0.8298,0.7556,0.9481,0.3037,0.5704,0.7926,1.0519,8.0494,0.7810,18,119.4
raw_qar_dual_gte_maxfeat,raw,qar,dual_gte_maxfeat,dual_maxfeat,0.9232,0.8195,0.9920,0.1901,0.4920,0.8275,0.7843,6.7173,0.8310,0.7556,0.9481,0.3111,0.5185,0.7630,1.1556,9.1914,0.8305,8,90.3
raw_qar_cross_mbert_maxfeat,raw,qar,cross_mbert_maxfeat,cross_maxfeat,0.7867,0.6597,0.9633,0.3802,0.4681,0.7141,1.2045,9.6356,0.7448,0.6519,0.9333,0.4148,0.4667,0.6815,1.4963,11.4568,0.6265,12,58.3
raw_qar_cross_xlmr_maxfeat,raw,qar,cross_xlmr_maxfeat,cross_maxfeat,0.9244,0.8530,0.9888,0.1613,0.5911,0.8866,0.6198,5.1746,0.7808,0.7630,0.9185,0.3407,0.6000,0.7926,1.1185,8.3148,0.7883,19,83.2
raw_qar_cross_gte_maxfeat,raw,qar,cross_gte_maxfeat,cross_maxfeat,0.8555,0.7716,0.9633,0.2700,0.4409,0.7987,1.0240,8.8008,0.8095,0.7481,0.9407,0.3259,0.4296,0.7778,1.2741,10.4444,0.7703,7,58.1
clean_ra_dual_mbert_maxfeat,clean,ra,dual_mbert_maxfeat,dual_maxfeat,0.7045,0.6134,0.9201,0.4728,0.3403,0.6709,1.5431,13.0194,0.6494,0.6296,0.8889,0.5037,0.3556,0.6741,1.6519,13.4568,0.5998,11,86.7
clean_ra_dual_xlmr_maxfeat,clean,ra,dual_xlmr_maxfeat,dual_maxfeat,0.8348,0.7173,0.9617,0.3227,0.5463,0.7955,0.9233,7.4443,0.7806,0.6815,0.9333,0.3926,0.5407,0.7111,1.1926,8.9877,0.7174,12,98.1
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.9103,0.8099,0.9856,0.2045,0.4872,0.8387,0.8195,6.6921,0.8187,0.7704,0.9407,0.3037,0.5556,0.8074,1.0370,7.9506,0.8160,5,71.1
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.5634,0.4856,0.8818,0.6438,0.2045,0.5751,1.9712,17.3654,0.5348,0.4667,0.8889,0.6667,0.1481,0.5333,2.1704,18.8818,0.5357,7,43.0
