run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.7253,0.5575,0.9265,0.5367,0.3355,0.6486,1.4936,12.5228,0.7156,0.6000,0.9259,0.4963,0.3259,0.6148,1.6222,13.2407,0.6832,,0.3
clean_qar_cross_gte_maxfeat,clean,qar,cross_gte_maxfeat,cross_maxfeat,0.9204,0.8227,0.9936,0.1853,0.5799,0.8466,0.6869,5.7750,0.7956,0.7259,0.9481,0.3481,0.5185,0.7630,1.2222,9.4383,0.8030,,0.5
clean_qar_cross_mbert_maxfeat,clean,qar,cross_mbert_maxfeat,cross_maxfeat,0.4366,0.4361,0.7620,0.8259,0.1885,0.4760,2.2508,20.1949,0.4298,0.4963,0.7556,0.7778,0.1111,0.3926,2.4519,22.2328,0.4811,,0.3
clean_qar_cross_xlmr_maxfeat,clean,qar,cross_xlmr_maxfeat,cross_maxfeat,0.8708,0.8051,0.9569,0.2412,0.5240,0.7907,0.9297,7.6867,0.8072,0.7778,0.9259,0.3111,0.5333,0.7556,1.2000,9.1728,0.7924,,0.3
clean_qar_dual_gte_maxfeat,clean,qar,dual_gte_maxfeat,dual_maxfeat,0.8714,0.7268,0.9808,0.2939,0.4856,0.7923,0.9089,7.3631,0.8415,0.7259,0.9630,0.3185,0.5111,0.8000,1.0667,8.2840,0.8591,,0.4
clean_qar_dual_mbert_maxfeat,clean,qar,dual_mbert_maxfeat,dual_maxfeat,0.6935,0.5831,0.8834,0.5575,0.2380,0.6709,1.6629,14.6311,0.6865,0.5852,0.8815,0.5630,0.2074,0.6815,1.7926,15.7522,0.6348,,0.5
clean_qar_dual_xlmr_maxfeat,clean,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8952,0.8131,0.9712,0.2173,0.6054,0.8450,0.7029,5.8031,0.7943,0.7481,0.9259,0.3481,0.5630,0.7926,1.1037,8.3704,0.8145,,0.5
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8987,0.8147,0.9824,0.2077,0.4792,0.8131,0.8546,7.2248,0.7866,0.7111,0.9556,0.3556,0.4593,0.7185,1.2370,9.9136,0.8067,,0.5
clean_ra_cross_gte_maxfeat,clean,ra,cross_gte_maxfeat,cross_maxfeat,0.9180,0.8003,0.9936,0.2061,0.5735,0.8786,0.6294,5.2691,0.8090,0.7333,0.9407,0.3407,0.5259,0.7556,1.0667,8.7593,0.8448,,0.4
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.5930,0.5096,0.8674,0.6358,0.2045,0.5751,1.9712,17.3654,0.5611,0.5333,0.8444,0.6444,0.1481,0.5333,2.1704,18.8818,0.5781,,0.5
clean_ra_cross_xlmr_maxfeat,clean,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8959,0.8083,0.9776,0.2173,0.5623,0.8147,0.7939,6.6990,0.8251,0.7852,0.9481,0.2889,0.5630,0.7630,1.1407,8.7284,0.8299,,0.4
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.8992,0.7827,0.9888,0.2284,0.4872,0.8387,0.8195,6.6921,0.8451,0.7556,0.9630,0.2889,0.5556,0.8074,1.0370,7.9506,0.8395,,0.4
clean_ra_dual_mbert_maxfeat,clean,ra,dual_mbert_maxfeat,dual_maxfeat,0.7248,0.6054,0.8930,0.5128,0.3403,0.6709,1.5431,13.0194,0.6824,0.6074,0.8593,0.5704,0.3556,0.6741,1.6519,13.4568,0.6571,,0.3
clean_ra_dual_xlmr_maxfeat,clean,ra,dual_xlmr_maxfeat,dual_maxfeat,0.8616,0.7412,0.9633,0.2987,0.5463,0.7955,0.9233,7.4443,0.8080,0.7259,0.9259,0.3556,0.5407,0.7111,1.1926,8.9877,0.7923,,0.5
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.8445,0.6821,0.9553,0.3674,0.4345,0.7636,1.0479,8.7837,0.7574,0.6667,0.9037,0.4519,0.4815,0.7259,1.2741,10.0679,0.7362,,0.3
raw_qar_cross_gte_maxfeat,raw,qar,cross_gte_maxfeat,cross_maxfeat,0.8335,0.7045,0.9665,0.3339,0.4409,0.7987,1.0240,8.8008,0.7906,0.6963,0.9333,0.3852,0.4296,0.7778,1.2741,10.4444,0.7939,,0.4
