run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_dual_mbert,raw,ra,dual_mbert,dual,0.8414,0.7252,0.9681,0.3083,0.3946,0.7300,1.2093,9.9654,0.7544,0.6815,0.9259,0.4000,0.4074,0.7259,1.3778,10.7222,0.7049,14,101.8
raw_ra_dual_xlmr,raw,ra,dual_xlmr,dual,0.8115,0.6789,0.9633,0.3594,0.4952,0.7652,1.0751,8.6382,0.7840,0.7111,0.9407,0.3556,0.5407,0.7481,1.1333,8.9753,0.7353,11,90.5
raw_ra_dual_gte,raw,ra,dual_gte,dual,0.9408,0.8514,0.9984,0.1502,0.5687,0.8930,0.6006,5.2611,0.8331,0.7185,0.9630,0.3259,0.5630,0.7852,1.0519,8.5864,0.8212,8,90.0
raw_ra_cross_mbert,raw,ra,cross_mbert,cross,0.7689,0.6885,0.9297,0.3882,0.4457,0.7204,1.2364,10.0643,0.7371,0.6667,0.9111,0.4296,0.5037,0.6741,1.4593,11.2778,0.6278,9,47.7
raw_ra_cross_xlmr,raw,ra,cross_xlmr,cross,0.6910,0.5447,0.9313,0.5240,0.3275,0.6278,1.6054,13.2308,0.7181,0.6000,0.9407,0.4667,0.3556,0.6444,1.6074,12.8025,0.7144,4,38.0
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.8689,0.7636,0.9681,0.2716,0.4633,0.8227,0.9537,8.0275,0.8071,0.7259,0.9407,0.3481,0.5037,0.7556,1.2222,9.7963,0.7703,8,61.9
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.8049,0.6757,0.9473,0.3770,0.4105,0.7332,1.2764,10.2931,0.7545,0.7037,0.9185,0.3926,0.4741,0.7185,1.4000,10.8395,0.6825,7,65.3
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.8973,0.7939,0.9808,0.2284,0.5319,0.8243,0.8115,6.6669,0.8005,0.7185,0.9407,0.3556,0.5185,0.7407,1.1926,9.2963,0.7847,15,117.3
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.9027,0.7939,0.9888,0.2173,0.5751,0.8610,0.6773,5.6006,0.8063,0.7037,0.9481,0.3556,0.5481,0.7926,1.0148,7.9753,0.8200,9,98.5
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.6647,0.5399,0.9281,0.5351,0.2252,0.5927,1.7732,15.4591,0.6130,0.5185,0.8889,0.5926,0.1407,0.5926,2.0593,17.4436,0.6219,4,33.5
