run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_ra_cross_gte,clean,ra,cross_gte,cross,0.8814,0.7588,0.9760,0.2684,0.4569,0.7859,1.0032,8.4533,0.7939,0.6963,0.9333,0.3852,0.4667,0.7037,1.3037,10.6481,0.8216,,0.4
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.5327,0.4345,0.8323,0.7620,0.1837,0.5256,2.1198,18.5302,0.4477,0.4519,0.8222,0.7704,0.1185,0.4593,2.4815,21.5238,0.5409,,0.3
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.8836,0.7987,0.9712,0.2332,0.5383,0.8099,0.8131,6.7098,0.7992,0.7185,0.9407,0.3556,0.5037,0.7630,1.1037,8.6235,0.7981,,0.5
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.9063,0.8003,0.9856,0.2141,0.5112,0.8371,0.8115,6.5497,0.8361,0.7259,0.9704,0.3185,0.4667,0.7556,1.1852,9.1914,0.8400,,0.4
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.6811,0.5016,0.8914,0.6214,0.3355,0.6358,1.6390,13.9885,0.6704,0.5037,0.8889,0.6296,0.3481,0.6370,1.6889,13.9815,0.6358,,0.3
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.8928,0.7955,0.9776,0.2300,0.5399,0.8275,0.7955,6.4232,0.7994,0.7407,0.9259,0.3481,0.5704,0.7407,1.1852,8.9938,0.8012,,0.6
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.8656,0.7604,0.9712,0.2716,0.4169,0.7875,1.0511,8.9288,0.7840,0.7259,0.9259,0.3630,0.4074,0.7481,1.4148,11.3519,0.7938,,0.4
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.7124,0.6230,0.8994,0.5048,0.2252,0.5927,1.7732,15.4591,0.6382,0.5704,0.8667,0.6000,0.1407,0.5926,2.0593,17.4436,0.6817,,0.4
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.9208,0.8450,0.9840,0.1725,0.5863,0.8466,0.6917,5.7643,0.7963,0.7556,0.9333,0.3333,0.5481,0.7704,1.2148,9.3148,0.8214,,0.4
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.9044,0.7827,0.9904,0.2268,0.5751,0.8610,0.6773,5.6006,0.8244,0.7037,0.9556,0.3481,0.5481,0.7926,1.0148,7.9753,0.8309,,0.4
