run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.5262,0.4230,0.8333,0.7720,0.1918,0.5000,2.6651,23.2504,0.5149,0.4380,0.8394,0.7591,0.1752,0.4964,2.5401,22.1263,0.5930,,0.2
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.9300,0.8270,0.9906,0.1840,0.2091,0.8396,1.0000,9.7282,0.8413,0.7883,0.9562,0.2774,0.1460,0.7007,1.5182,13.7626,0.8756,,0.1
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.5269,0.4230,0.8381,0.7814,0.3270,0.5031,2.6321,22.3482,0.5283,0.4453,0.8394,0.7591,0.3139,0.5182,2.4818,20.7847,0.6253,,0.2
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.9369,0.8491,0.9906,0.1619,0.2013,0.8695,0.9638,9.5173,0.8037,0.7737,0.9270,0.3212,0.1533,0.6715,1.5474,14.0302,0.8790,,0.1
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.5202,0.4167,0.8381,0.7767,0.1619,0.4513,2.7925,24.5725,0.5193,0.4234,0.8394,0.7737,0.1460,0.4672,2.6350,23.1117,0.5894,,0.2
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.9370,0.8553,0.9906,0.1557,0.2437,0.8475,0.9560,9.1622,0.8389,0.7664,0.9562,0.2920,0.1679,0.6861,1.5109,13.5740,0.8721,,0.2
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.5232,0.4261,0.8302,0.7830,0.3160,0.4701,2.7107,23.2405,0.5337,0.4380,0.8540,0.7518,0.3212,0.4818,2.5109,21.2956,0.6276,,0.2
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.9429,0.8616,0.9937,0.1462,0.2075,0.8569,0.9670,9.4347,0.8107,0.7518,0.9343,0.3285,0.1752,0.6861,1.5036,13.3246,0.8792,,0.1
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.5073,0.4261,0.8239,0.7799,0.2060,0.4921,2.4544,21.2558,0.4827,0.4307,0.8248,0.7883,0.1606,0.5109,2.4015,20.8551,0.5666,,0.2
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.9297,0.8333,0.9890,0.1792,0.2437,0.8506,0.9623,9.2262,0.8267,0.7956,0.9416,0.2847,0.1898,0.7226,1.4453,12.7989,0.8773,,0.1
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.5125,0.4324,0.8396,0.7642,0.3522,0.5079,2.3789,20.0943,0.5073,0.4453,0.8540,0.7518,0.3212,0.5328,2.2847,19.1058,0.6002,,0.2
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.9065,0.7909,0.9796,0.2311,0.3270,0.8365,0.8789,7.7403,0.8305,0.7299,0.9635,0.3285,0.2993,0.6861,1.4015,11.3634,0.8879,,0.1
