run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_bilstm_maxfeat,raw,ra,bilstm_maxfeat,bilstm_maxfeat,0.9132,0.8208,0.9796,0.1997,0.5330,0.8318,0.7893,6.4967,0.7198,0.6861,0.8978,0.4453,0.4453,0.7080,1.5255,11.4173,0.8620,19,10.0
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.8416,0.6903,0.9733,0.3396,0.3899,0.7280,1.1792,9.6532,0.7345,0.6788,0.9270,0.4234,0.4234,0.6642,1.5474,11.5693,0.7926,18,10.2
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8829,0.7594,0.9764,0.2642,0.5016,0.8223,0.8538,7.0064,0.7058,0.6350,0.9051,0.4818,0.3869,0.6788,1.6277,12.4209,0.8273,18,10.7
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.7442,0.5959,0.9465,0.4623,0.3931,0.6525,1.4355,11.6015,0.6365,0.5620,0.9051,0.5547,0.3796,0.5839,1.8029,13.5584,0.7746,11,8.5
segment_ra_bilstm_maxfeat,segment,ra,bilstm_maxfeat,bilstm_maxfeat,0.8840,0.7594,0.9748,0.2657,0.4906,0.7972,0.9261,7.5580,0.7619,0.6204,0.9416,0.4526,0.4307,0.6861,1.4526,10.8455,0.8553,19,21.2
segment_qar_bilstm_maxfeat,segment,qar,bilstm_maxfeat,bilstm_maxfeat,0.7894,0.6588,0.9497,0.3962,0.4481,0.7186,1.2877,10.1602,0.6333,0.6350,0.8540,0.5255,0.4672,0.6277,1.7226,12.6764,0.8101,17,21.4
raw_ra_dual_mbert_maxfeat,raw,ra,dual_mbert_maxfeat,dual_maxfeat,0.7091,0.5723,0.9198,0.5126,0.2500,0.6242,1.7327,14.7016,0.6491,0.6058,0.9051,0.5109,0.2701,0.5912,1.8759,14.9461,0.7721,3,44.4
raw_ra_dual_xlmr_maxfeat,raw,ra,dual_xlmr_maxfeat,dual_maxfeat,0.9111,0.8035,0.9843,0.2138,0.5802,0.8459,0.7248,5.8202,0.7654,0.6934,0.9416,0.3942,0.5328,0.7080,1.3066,9.8054,0.8843,16,118.2
raw_ra_dual_gte_maxfeat,raw,ra,dual_gte_maxfeat,dual_maxfeat,0.9536,0.8758,0.9969,0.1274,0.6274,0.9151,0.4969,4.2494,0.8125,0.7518,0.9489,0.3212,0.5109,0.7737,1.2263,9.0754,0.8920,16,140.4
raw_ra_cross_mbert_maxfeat,raw,ra,cross_mbert_maxfeat,cross_maxfeat,0.8439,0.7453,0.9560,0.3050,0.4811,0.7500,1.1006,8.9888,0.6686,0.5985,0.8978,0.5255,0.4015,0.5985,1.8686,13.8504,0.8238,14,64.3
