run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.7654,0.6478,0.9277,0.4324,0.3931,0.6525,1.4355,11.6015,0.7154,0.6642,0.8905,0.4599,0.3796,0.5839,1.8029,13.5584,0.8036,,0.5
clean_qar_cross_gte_maxfeat,clean,qar,cross_gte_maxfeat,cross_maxfeat,0.8363,0.7453,0.9513,0.3129,0.4575,0.7610,1.1541,9.3623,0.7539,0.7226,0.9124,0.3942,0.4964,0.7080,1.4380,10.6387,0.8600,,0.4
clean_qar_cross_mbert_maxfeat,clean,qar,cross_mbert_maxfeat,cross_maxfeat,0.4170,0.3412,0.6997,0.9796,0.1588,0.3789,2.4261,22.3819,0.4367,0.3358,0.7737,0.9124,0.1022,0.3431,2.6204,23.3342,0.5172,,0.4
clean_qar_cross_xlmr_maxfeat,clean,qar,cross_xlmr_maxfeat,cross_maxfeat,0.7835,0.7044,0.9277,0.3868,0.4072,0.6840,1.4560,11.5134,0.7360,0.6715,0.9197,0.4453,0.4088,0.6788,1.5766,11.8248,0.7982,,0.6
clean_qar_dual_gte_maxfeat,clean,qar,dual_gte_maxfeat,dual_maxfeat,0.9553,0.8868,0.9953,0.1179,0.6289,0.9151,0.4921,4.1013,0.8097,0.7737,0.9416,0.3066,0.5109,0.7737,1.1825,8.8382,0.9186,,0.4
clean_qar_dual_mbert_maxfeat,clean,qar,dual_mbert_maxfeat,dual_maxfeat,0.6560,0.5472,0.8742,0.5975,0.2720,0.5582,1.9198,16.6884,0.6435,0.5255,0.8686,0.6131,0.2044,0.5547,2.0803,17.0655,0.7177,,0.4
clean_qar_dual_xlmr_maxfeat,clean,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8966,0.7877,0.9748,0.2374,0.4921,0.8035,0.9387,7.4805,0.8092,0.7153,0.9489,0.3504,0.4234,0.6569,1.4380,10.8029,0.8673,,0.4
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8928,0.7752,0.9748,0.2500,0.5016,0.8223,0.8538,7.0064,0.7259,0.6715,0.8978,0.4526,0.3869,0.6788,1.6277,12.4209,0.8498,,0.4
clean_ra_cross_gte_maxfeat,clean,ra,cross_gte_maxfeat,cross_maxfeat,0.8710,0.7610,0.9717,0.2704,0.4403,0.7673,1.0739,8.7343,0.7504,0.6934,0.9124,0.4088,0.4599,0.7226,1.4599,11.0158,0.8889,,0.4
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.6921,0.6494,0.8852,0.4796,0.3412,0.6651,1.7248,14.2243,0.6437,0.6204,0.8613,0.5328,0.2920,0.6569,1.9416,15.4745,0.6901,,0.4
clean_ra_cross_xlmr_maxfeat,clean,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8909,0.7720,0.9811,0.2484,0.5094,0.8003,0.8459,7.1256,0.8137,0.6861,0.9562,0.3650,0.4526,0.6715,1.3358,10.4136,0.9024,,0.4
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.9554,0.8852,0.9969,0.1179,0.6132,0.9245,0.5063,4.2780,0.8438,0.7591,0.9562,0.2920,0.5109,0.7737,1.1314,8.6071,0.9170,,0.4
clean_ra_dual_mbert_maxfeat,clean,ra,dual_mbert_maxfeat,dual_maxfeat,0.6283,0.4953,0.8899,0.6289,0.2390,0.5755,1.9198,16.4471,0.6478,0.5182,0.9051,0.5912,0.1606,0.5839,2.0000,16.6154,0.7536,,0.5
clean_ra_dual_xlmr_maxfeat,clean,ra,dual_xlmr_maxfeat,dual_maxfeat,0.9056,0.7956,0.9811,0.2233,0.5346,0.8176,0.8381,6.7520,0.8374,0.7372,0.9562,0.3139,0.4964,0.7299,1.3066,9.5864,0.8661,,0.4
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.8525,0.7201,0.9670,0.3160,0.3899,0.7280,1.1792,9.6532,0.7635,0.7153,0.9197,0.3869,0.4234,0.6642,1.5474,11.5693,0.8473,,0.5
raw_qar_cross_gte_maxfeat,raw,qar,cross_gte_maxfeat,cross_maxfeat,0.8516,0.7610,0.9560,0.2877,0.4465,0.7972,1.0739,8.7438,0.7220,0.6934,0.9124,0.4307,0.4453,0.7226,1.5474,11.4234,0.8874,,0.4
raw_qar_cross_mbert_maxfeat,raw,qar,cross_mbert_maxfeat,cross_maxfeat,0.6968,0.5708,0.9104,0.5330,0.3129,0.5676,1.8679,15.6961,0.5962,0.5839,0.8467,0.5985,0.3212,0.5620,2.2190,17.1411,0.7822,,0.5
raw_qar_cross_xlmr_maxfeat,raw,qar,cross_xlmr_maxfeat,cross_maxfeat,0.8505,0.7469,0.9591,0.2987,0.5550,0.8003,0.9513,7.5605,0.7608,0.6934,0.9270,0.4015,0.4745,0.7591,1.3431,10.3589,0.8603,,0.4
raw_qar_dual_gte_maxfeat,raw,qar,dual_gte_maxfeat,dual_maxfeat,0.9413,0.8443,0.9969,0.1588,0.6667,0.9324,0.4340,3.7240,0.8012,0.7080,0.9416,0.3650,0.5620,0.7810,1.2117,8.8869,0.9088,,0.4
raw_qar_dual_mbert_maxfeat,raw,qar,dual_mbert_maxfeat,dual_maxfeat,0.7749,0.6572,0.9167,0.4387,0.3947,0.7138,1.3538,10.9973,0.6514,0.6131,0.8832,0.5401,0.3723,0.6277,1.7737,13.4489,0.8450,,0.4
raw_qar_dual_xlmr_maxfeat,raw,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8987,0.7846,0.9796,0.2390,0.5142,0.8145,0.8601,6.9577,0.7725,0.7226,0.9197,0.3796,0.4453,0.7226,1.4307,10.8151,0.9003,,0.4
raw_ra_bilstm_maxfeat,raw,ra,bilstm_maxfeat,bilstm_maxfeat,0.9072,0.7972,0.9827,0.2217,0.5330,0.8318,0.7893,6.4967,0.6746,0.6861,0.8905,0.4745,0.4453,0.7080,1.5255,11.4173,0.8943,,0.4
