run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_dual_mbert,raw,ra,dual_mbert,dual,0.8713,0.7469,0.9717,0.2814,0.5173,0.7799,0.9544,7.6992,0.7111,0.6715,0.9051,0.4453,0.4380,0.7007,1.5766,11.6119,0.8114,20,116.3
raw_ra_dual_xlmr,raw,ra,dual_xlmr,dual,0.8514,0.7406,0.9591,0.3035,0.4575,0.7767,1.0865,8.7633,0.7526,0.6350,0.9416,0.4453,0.4672,0.6934,1.4015,10.5353,0.8425,10,90.4
raw_ra_dual_gte,raw,ra,dual_gte,dual,0.9188,0.7940,0.9906,0.2154,0.5346,0.8318,0.7767,6.2594,0.7968,0.7518,0.9416,0.3358,0.4453,0.7226,1.3650,10.0852,0.8797,7,81.4
raw_ra_cross_mbert,raw,ra,cross_mbert,cross,0.7473,0.6667,0.9135,0.4277,0.4057,0.6808,1.4780,11.8662,0.6380,0.6423,0.8759,0.5109,0.4307,0.6277,1.8102,13.5036,0.7829,6,39.1
raw_ra_cross_xlmr,raw,ra,cross_xlmr,cross,0.9173,0.8286,0.9827,0.1903,0.5755,0.8129,0.7893,6.3237,0.7973,0.7810,0.9270,0.3139,0.5620,0.7810,1.1898,8.8382,0.8953,16,85.9
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.8955,0.7893,0.9780,0.2343,0.4874,0.8506,0.8585,7.1462,0.7657,0.6861,0.9124,0.4088,0.4745,0.7299,1.4015,10.7117,0.8731,11,75.3
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.7759,0.6289,0.9403,0.4355,0.3994,0.6997,1.3978,11.2135,0.6491,0.5474,0.8905,0.5766,0.3796,0.6350,1.8102,13.5645,0.8331,7,66.0
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.9021,0.7799,0.9843,0.2374,0.5094,0.8208,0.8616,7.1949,0.7660,0.7226,0.9343,0.3796,0.4818,0.7153,1.3650,10.6387,0.8755,13,99.7
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.9073,0.7830,0.9827,0.2343,0.5000,0.8097,0.8821,7.2104,0.8061,0.7372,0.9416,0.3431,0.5109,0.7299,1.3796,9.7506,0.8688,7,83.2
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.8187,0.6981,0.9528,0.3538,0.4890,0.7406,1.1478,9.2561,0.6428,0.5912,0.9051,0.5401,0.3869,0.6131,1.8321,13.8139,0.8220,16,70.9
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.8539,0.7469,0.9575,0.3003,0.4780,0.7594,1.0723,8.8930,0.7616,0.7007,0.9270,0.3942,0.3869,0.7153,1.5109,11.8613,0.8553,12,66.3
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.8673,0.7767,0.9638,0.2657,0.4638,0.8082,0.9874,8.3545,0.7556,0.7591,0.9124,0.3650,0.4745,0.7372,1.5328,11.3078,0.8575,10,67.1
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.6592,0.4827,0.8915,0.6368,0.1761,0.5881,1.9450,17.3985,0.5912,0.4891,0.8613,0.6642,0.1679,0.6131,2.0365,17.4548,0.6928,7,64.8
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.8067,0.6965,0.9340,0.3758,0.3899,0.7075,1.3868,10.9883,0.7578,0.6715,0.9416,0.4161,0.3869,0.6496,1.6715,12.5426,0.8386,9,81.9
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.9220,0.7940,0.9937,0.2123,0.5126,0.8176,0.7909,6.4400,0.8418,0.7518,0.9562,0.3066,0.4453,0.7372,1.2701,9.4161,0.8948,7,85.9
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.7073,0.6274,0.9009,0.4780,0.2390,0.6619,1.7547,15.1318,0.6399,0.5839,0.8832,0.5474,0.1825,0.6277,2.0146,16.6276,0.6943,16,71.8
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.8569,0.7657,0.9623,0.2799,0.4874,0.7814,1.0314,8.2746,0.7977,0.7080,0.9635,0.3577,0.4745,0.7518,1.2482,9.4647,0.8686,11,67.8
clean_ra_cross_gte,clean,ra,cross_gte,cross,0.9198,0.8082,0.9858,0.2060,0.5770,0.8412,0.6903,5.6774,0.7487,0.6569,0.9197,0.4526,0.5036,0.7372,1.3431,10.3467,0.8885,18,95.7
clean_qar_dual_mbert,clean,qar,dual_mbert,dual,0.6640,0.5220,0.9057,0.5802,0.2343,0.5692,1.8443,16.2547,0.6491,0.5328,0.8832,0.5839,0.2044,0.5693,2.0000,16.5242,0.6823,11,90.5
clean_qar_dual_xlmr,clean,qar,dual_xlmr,dual,0.8214,0.6981,0.9434,0.3601,0.4198,0.7154,1.2673,10.1275,0.7641,0.6423,0.9416,0.4307,0.3869,0.6569,1.5182,11.6667,0.8214,9,83.6
clean_qar_dual_gte,clean,qar,dual_gte,dual,0.9015,0.7814,0.9811,0.2374,0.5110,0.8082,0.8475,7.0650,0.8047,0.7445,0.9416,0.3358,0.4672,0.7591,1.2847,9.3187,0.8924,7,84.9
clean_qar_cross_mbert,clean,qar,cross_mbert,cross,0.4160,0.3443,0.8019,0.8632,0.1321,0.3758,2.4733,22.9872,0.3646,0.2701,0.8467,0.8978,0.0876,0.3139,2.6569,23.8269,0.4600,4,36.4
clean_qar_cross_xlmr,clean,qar,cross_xlmr,cross,0.9086,0.8255,0.9733,0.2013,0.6132,0.8491,0.6981,5.8337,0.7755,0.7445,0.9197,0.3577,0.4964,0.7372,1.2774,10.1156,0.8577,19,84.7
clean_qar_cross_gte,clean,qar,cross_gte,cross,0.8466,0.7689,0.9481,0.2893,0.4764,0.7909,1.0629,8.5054,0.7713,0.7518,0.9197,0.3577,0.4964,0.7664,1.3942,10.2129,0.8511,8,60.7
segment_ra_dual_mbert,segment,ra,dual_mbert,dual,0.6632,0.5063,0.9167,0.5833,0.1903,0.5330,2.0896,18.0417,0.6794,0.5109,0.9197,0.5693,0.1898,0.5109,2.1679,17.8624,0.7638,3,55.5
segment_ra_dual_xlmr,segment,ra,dual_xlmr,dual,0.8500,0.7296,0.9607,0.3145,0.4528,0.7453,1.1242,8.9218,0.7792,0.6569,0.9416,0.4161,0.4818,0.6788,1.4015,10.5474,0.8340,7,82.3
segment_ra_dual_gte,segment,ra,dual_gte,dual,0.9110,0.7626,0.9874,0.2500,0.4937,0.8066,0.8475,6.8409,0.8416,0.7226,0.9489,0.3358,0.4672,0.7372,1.2628,9.5255,0.8967,8,107.2
segment_ra_cross_mbert,segment,ra,cross_mbert,cross,0.6777,0.5865,0.9009,0.5204,0.4009,0.6399,1.6918,13.6429,0.6747,0.6350,0.8978,0.4818,0.4161,0.6131,1.8248,13.7044,0.7347,12,73.8
segment_ra_cross_xlmr,segment,ra,cross_xlmr,cross,0.9152,0.8066,0.9858,0.2075,0.5503,0.8506,0.6918,5.8427,0.7817,0.7299,0.9197,0.3650,0.4599,0.7591,1.2555,9.6533,0.8792,16,96.7
segment_ra_cross_gte,segment,ra,cross_gte,cross,0.8914,0.7940,0.9764,0.2343,0.5110,0.8475,0.8664,6.9197,0.7619,0.7591,0.9197,0.3504,0.5036,0.7883,1.3796,10.0973,0.8859,10,86.2
segment_qar_dual_mbert,segment,qar,dual_mbert,dual,0.7246,0.5943,0.9198,0.4921,0.3899,0.6321,1.6321,13.1044,0.6603,0.5474,0.9124,0.5547,0.3650,0.5620,1.8394,13.8443,0.7632,10,94.9
segment_qar_dual_xlmr,segment,qar,dual_xlmr,dual,0.8921,0.7799,0.9764,0.2437,0.4984,0.8129,0.8553,6.8658,0.7917,0.7299,0.9197,0.3577,0.5109,0.7299,1.2701,9.2883,0.8448,10,102.9
segment_qar_dual_gte,segment,qar,dual_gte,dual,0.9197,0.7940,0.9906,0.2154,0.4843,0.8349,0.8035,6.5959,0.8302,0.7518,0.9489,0.3139,0.4891,0.7153,1.3358,9.6411,0.8904,8,104.0
segment_qar_cross_mbert,segment,qar,cross_mbert,cross,0.5224,0.4796,0.8396,0.6887,0.3302,0.5519,2.0692,17.2715,0.5009,0.4380,0.8394,0.7226,0.2701,0.5182,2.2190,18.0422,0.5696,14,77.1
segment_qar_cross_xlmr,segment,qar,cross_xlmr,cross,0.8613,0.7358,0.9623,0.3050,0.4513,0.7610,1.0582,8.6283,0.7628,0.7299,0.9124,0.3796,0.4453,0.7080,1.4599,10.6448,0.8363,12,80.2
segment_qar_cross_gte,segment,qar,cross_gte,cross,0.8493,0.7453,0.9591,0.3035,0.4513,0.7610,1.1619,9.1053,0.7328,0.7372,0.8978,0.4015,0.5328,0.7226,1.4891,10.5231,0.8281,8,71.0
