run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_cross_gte,clean,qar,cross_gte,cross,0.8461,0.7610,0.9528,0.2925,0.4764,0.7909,1.0629,8.5054,0.7585,0.7372,0.9197,0.3723,0.4964,0.7664,1.3942,10.2129,0.8636,,0.4
clean_qar_cross_mbert,clean,qar,cross_mbert,cross,0.4169,0.3616,0.7154,0.9984,0.1321,0.3758,2.4733,22.9872,0.4084,0.4234,0.7153,0.9343,0.0876,0.3139,2.6569,23.8269,0.5189,,0.3
clean_qar_cross_xlmr,clean,qar,cross_xlmr,cross,0.9103,0.8270,0.9748,0.1997,0.6132,0.8491,0.6981,5.8337,0.7867,0.7737,0.9197,0.3285,0.4964,0.7372,1.2774,10.1156,0.8810,,0.4
clean_qar_dual_gte,clean,qar,dual_gte,dual,0.8935,0.7579,0.9811,0.2610,0.5110,0.8082,0.8475,7.0650,0.7992,0.7226,0.9416,0.3577,0.4672,0.7591,1.2847,9.3187,0.9118,,0.4
clean_qar_dual_mbert,clean,qar,dual_mbert,dual,0.6790,0.5362,0.8947,0.5833,0.2343,0.5692,1.8443,16.2547,0.6689,0.5547,0.8759,0.5693,0.2044,0.5693,2.0000,16.5242,0.7306,,0.3
clean_qar_dual_xlmr,clean,qar,dual_xlmr,dual,0.8226,0.7013,0.9465,0.3538,0.4198,0.7154,1.2673,10.1275,0.7639,0.6496,0.9416,0.4234,0.3869,0.6569,1.5182,11.6667,0.8423,,0.4
clean_ra_cross_gte,clean,ra,cross_gte,cross,0.9249,0.8192,0.9890,0.1918,0.5770,0.8412,0.6903,5.6774,0.7512,0.6934,0.9197,0.4161,0.5036,0.7372,1.3431,10.3467,0.9097,,0.4
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.6630,0.5896,0.8318,0.6242,0.2390,0.6619,1.7547,15.1318,0.6370,0.6496,0.8467,0.5693,0.1825,0.6277,2.0146,16.6276,0.7132,,0.3
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.8529,0.7469,0.9638,0.2972,0.4874,0.7814,1.0314,8.2746,0.8074,0.7153,0.9562,0.3504,0.4745,0.7518,1.2482,9.4647,0.8807,,0.4
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.9234,0.8066,0.9937,0.1997,0.5126,0.8176,0.7909,6.4400,0.8182,0.7737,0.9416,0.3066,0.4453,0.7372,1.2701,9.4161,0.9080,,0.4
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.6973,0.6006,0.8711,0.5519,0.1761,0.5881,1.9450,17.3985,0.6461,0.5912,0.8394,0.5912,0.1679,0.6131,2.0365,17.4548,0.7163,,0.3
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.8044,0.7028,0.9324,0.3695,0.3899,0.7075,1.3868,10.9883,0.7532,0.6642,0.9416,0.4234,0.3869,0.6496,1.6715,12.5426,0.8431,,0.4
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.8579,0.7421,0.9607,0.3050,0.4638,0.8082,0.9874,8.3545,0.7482,0.7299,0.9051,0.4015,0.4745,0.7372,1.5328,11.3078,0.8681,,0.4
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.8255,0.6965,0.9528,0.3632,0.4890,0.7406,1.1478,9.2561,0.6568,0.5839,0.8978,0.5620,0.3869,0.6131,1.8321,13.8139,0.8620,,0.4
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.8541,0.7657,0.9528,0.2877,0.4780,0.7594,1.0723,8.8930,0.7777,0.7518,0.9197,0.3504,0.3869,0.7153,1.5109,11.8613,0.8729,,0.4
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.8966,0.7531,0.9858,0.2610,0.5000,0.8097,0.8821,7.2104,0.7831,0.6934,0.9416,0.3869,0.5109,0.7299,1.3796,9.7506,0.8884,,0.4
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.7906,0.6855,0.9261,0.3994,0.3994,0.6997,1.3978,11.2135,0.6817,0.6131,0.8905,0.5255,0.3796,0.6350,1.8102,13.5645,0.8534,,0.4
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.8999,0.7830,0.9843,0.2343,0.5094,0.8208,0.8616,7.1949,0.7657,0.7299,0.9343,0.3723,0.4818,0.7153,1.3650,10.6387,0.8787,,0.4
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.8953,0.7846,0.9811,0.2358,0.4874,0.8506,0.8585,7.1462,0.7685,0.7007,0.9124,0.3942,0.4745,0.7299,1.4015,10.7117,0.8875,,0.4
raw_ra_cross_mbert,raw,ra,cross_mbert,cross,0.7457,0.6588,0.9182,0.4324,0.4057,0.6808,1.4780,11.8662,0.6282,0.6277,0.8759,0.5255,0.4307,0.6277,1.8102,13.5036,0.8033,,0.5
raw_ra_cross_xlmr,raw,ra,cross_xlmr,cross,0.9114,0.8160,0.9811,0.2028,0.5755,0.8129,0.7893,6.3237,0.8008,0.7664,0.9270,0.3212,0.5620,0.7810,1.1898,8.8382,0.8991,,0.4
raw_ra_dual_gte,raw,ra,dual_gte,dual,0.9187,0.8019,0.9890,0.2091,0.5346,0.8318,0.7767,6.2594,0.7873,0.7518,0.9343,0.3431,0.4453,0.7226,1.3650,10.0852,0.8931,,0.4
raw_ra_dual_mbert,raw,ra,dual_mbert,dual,0.8628,0.7296,0.9654,0.3050,0.5173,0.7799,0.9544,7.6992,0.6963,0.6496,0.8978,0.4745,0.4380,0.7007,1.5766,11.6119,0.8590,,0.4
raw_ra_dual_xlmr,raw,ra,dual_xlmr,dual,0.8510,0.7358,0.9591,0.3082,0.4575,0.7767,1.0865,8.7633,0.7707,0.6861,0.9416,0.3942,0.4672,0.6934,1.4015,10.5353,0.8661,,0.4
segment_qar_cross_gte,segment,qar,cross_gte,cross,0.8451,0.7406,0.9560,0.3097,0.4513,0.7610,1.1619,9.1053,0.7510,0.7299,0.9051,0.3942,0.5328,0.7226,1.4891,10.5231,0.8511,,0.4
segment_qar_cross_mbert,segment,qar,cross_mbert,cross,0.5366,0.3962,0.8396,0.7704,0.3302,0.5519,2.0692,17.2715,0.5186,0.3723,0.8394,0.7883,0.2701,0.5182,2.2190,18.0422,0.5972,,0.3
segment_qar_cross_xlmr,segment,qar,cross_xlmr,cross,0.8550,0.7044,0.9670,0.3302,0.4513,0.7610,1.0582,8.6283,0.7802,0.7153,0.9124,0.3796,0.4453,0.7080,1.4599,10.6448,0.8575,,0.4
segment_qar_dual_gte,segment,qar,dual_gte,dual,0.9115,0.7814,0.9906,0.2280,0.4843,0.8349,0.8035,6.5959,0.8149,0.7299,0.9489,0.3358,0.4891,0.7153,1.3358,9.6411,0.9073,,0.4
segment_qar_dual_mbert,segment,qar,dual_mbert,dual,0.7295,0.5975,0.9230,0.4858,0.3899,0.6321,1.6321,13.1044,0.6521,0.5474,0.9051,0.5620,0.3650,0.5620,1.8394,13.8443,0.7674,,0.4
segment_qar_dual_xlmr,segment,qar,dual_xlmr,dual,0.8883,0.7579,0.9827,0.2594,0.4984,0.8129,0.8553,6.8658,0.7820,0.6788,0.9343,0.3942,0.5109,0.7299,1.2701,9.2883,0.8734,,0.5
segment_ra_cross_gte,segment,ra,cross_gte,cross,0.8906,0.7909,0.9748,0.2406,0.5110,0.8475,0.8664,6.9197,0.7623,0.7518,0.9197,0.3577,0.5036,0.7883,1.3796,10.0973,0.9005,,0.4
segment_ra_cross_mbert,segment,ra,cross_mbert,cross,0.6962,0.5487,0.8915,0.5881,0.4009,0.6399,1.6918,13.6429,0.6712,0.5547,0.8978,0.5985,0.4161,0.6131,1.8248,13.7044,0.7677,,0.4
segment_ra_cross_xlmr,segment,ra,cross_xlmr,cross,0.9164,0.8097,0.9843,0.2060,0.5503,0.8506,0.6918,5.8427,0.8164,0.7226,0.9489,0.3431,0.4599,0.7591,1.2555,9.6533,0.9019,,0.4
segment_ra_dual_gte,segment,ra,dual_gte,dual,0.9150,0.7909,0.9858,0.2233,0.4937,0.8066,0.8475,6.8409,0.8360,0.7445,0.9416,0.3212,0.4672,0.7372,1.2628,9.5255,0.9144,,0.4
segment_ra_dual_mbert,segment,ra,dual_mbert,dual,0.6722,0.5597,0.9135,0.5377,0.1903,0.5330,2.0896,18.0417,0.7002,0.5912,0.9197,0.4964,0.1898,0.5109,2.1679,17.8624,0.7772,,0.4
segment_ra_dual_xlmr,segment,ra,dual_xlmr,dual,0.8166,0.6447,0.9481,0.4182,0.4528,0.7453,1.1242,8.9218,0.7758,0.6058,0.9416,0.4745,0.4818,0.6788,1.4015,10.5474,0.8646,,0.4
