run_id,preprocess,input,model,family,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,val_qwk,best_epoch,seconds
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.7699,0.6798,0.9438,0.3764,0.6691,,140.4
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.4582,0.3764,0.7584,0.9101,0.3770,,1.7
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.7602,0.6742,0.9382,0.3876,0.6568,,36.0
raw_ra_fasttext_cos,raw,ra,fasttext_cos,classical,0.0074,0.4213,0.5955,1.1348,0.0037,,7.1
raw_ra_bilstm,raw,ra,bilstm,bilstm,0.7144,0.5955,0.9213,0.5000,0.6248,12,12.3
raw_ra_dual_mbert,raw,ra,dual_mbert,dual,0.7021,0.6236,0.9045,0.4831,0.6938,16,141.5
raw_ra_dual_xlmr,raw,ra,dual_xlmr,dual,0.7308,0.6517,0.9270,0.4326,0.6958,13,124.7
raw_ra_dual_gte,raw,ra,dual_gte,dual,0.7893,0.6910,0.9326,0.3764,0.7522,8,111.3
raw_ra_cross_mbert,raw,ra,cross_mbert,cross,0.6552,0.6348,0.9157,0.4719,0.6267,9,57.5
raw_ra_cross_xlmr,raw,ra,cross_xlmr,cross,0.7407,0.6742,0.9213,0.4157,0.6877,10,73.8
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.7466,0.6910,0.9101,0.4045,0.7040,10,83.9
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.4227,0.3258,0.7921,0.9213,0.3862,,1.6
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.7685,0.6742,0.9438,0.3820,0.6793,,34.0
raw_qar_fasttext_cos,raw,qar,fasttext_cos,classical,0.0074,0.4213,0.5955,1.1348,0.0037,,7.6
raw_qar_bilstm,raw,qar,bilstm,bilstm,0.6238,0.5562,0.9157,0.5449,0.6405,9,8.3
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.6688,0.5843,0.9157,0.5056,0.6180,5,65.9
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.7654,0.6910,0.9382,0.3820,0.7503,19,148.4
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.7587,0.7079,0.9326,0.3820,0.7509,11,132.3
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.6746,0.6798,0.8820,0.4663,0.6880,20,88.8
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.7264,0.6742,0.9101,0.4326,0.7021,13,84.6
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.6687,0.6236,0.8989,0.4888,0.6615,6,59.9
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.4685,0.4101,0.7697,0.8820,0.3896,,2.2
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.7711,0.6798,0.9438,0.3764,0.6739,,35.5
clean_ra_fasttext_cos,clean,ra,fasttext_cos,classical,0.0074,0.4213,0.5955,1.1348,0.0037,,7.3
clean_ra_bilstm,clean,ra,bilstm,bilstm,0.6990,0.6180,0.9326,0.4663,0.6351,12,10.8
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.6458,0.5674,0.8989,0.5393,0.5081,14,124.0
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.6780,0.6461,0.8989,0.4719,0.7111,11,112.7
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.7920,0.7416,0.9438,0.3258,0.7779,7,101.1
